order,species,autorship,categoria,obs
84,Euterpe edulis ,Mart.,Endangered,Yeyfh Palmera exclusiva de la selva paranaense en nuestro pais s610 presente en Misiones.
85,Trithrinax biflabellata ,Barb. Rodr.,Endangered,Palma. Probablemente indeterminada. Palmera de Formosa Chaco y Salta.
86,Trithrinax campestris ,(Brum.) Brude et Griseb.,Vulnerable,Caranda Caranda-I. Palmera baja de ambientes chaquefios y del espinal desde Salta hasta San Luis y Entre Rfos. En Cordoba en activa regresion
87,Dacrydium fonkii ,(Phil.) Bentham,Endangered,Arbusto de los bosques andinopatag6nicos des de Neuquen a Chubut.
88,Podocarpus andinus ,Poepp.,Endangered,Mafifu. Arbolito de Neuquen.
89,Podocarpus lambertii ,Klotzsch,Endangered,Arbol hallado alguna vez en Misiones.
90,Podocarpus nubigenus ,Lindl,Endangered,Mafiiu macho Mafifu macho Pi no amarillo. Arbol escaso restringido en el pais al norte de la selva valdiviana del sudoeste de Neuquen.
91,Saxegothaea conspicua ,Lindl.,Endangered,"Arbol restringido a los bosques andinopatagonicos del sur de Neuquen, Rfo Negro y Chubut."
92,Embothrium coccineum ,Forst.,Indeterminada (maybe LC),Ciruelillo. Arbol pequefio de los bosques andinopatagonicos. Tal vez fuera de peligro. Comiin en varios parques nacionales patagonicos y fuera de ellos.
93,Gevuina avellana,NA,Endangered,Guevfn A vellano - Arbusto grande 0 arbol de 5 metros de altura escaso en la Argentina: solo en determinados puntos fronterizos con Chile con Selva Valdiviana en el oeste de Neuquen Rio Negro y Chubut.
94,Colletia paradoxa ,(Spreng.) Escalante,Indeterminada,Currumamuel. Arbusto casi Milo en Argentina restringido a las serranfas de Balcarce y Loberfa (Buenos Aires).
95,Zizyphus guaranitica ,Malme,Endangered,Planta hall ada en Formosa.
96,Polylepis australis ,Bitt.,Indeterminada (maybe Vulnerable),Quefioa Arbol pequefio de ambientes montanos desde el noroeste hasta San Luis y C6rdoba. Tal vez vulnerable. En C6rdoba sufre activa regresion.
97,Polylepis tomentella ,Wedd.,Vulnerable,Arbusto 0 arbolito forma bosquecillos en la Puna de Jujuy. Tal vez local mente en peJigro o vulnerable.
98,Calycophyllum multiflorum ,Griseb.,Vulnerable,Arbol de gran porte caracterfstico del bosque deciduo alto de Jujuy y Salta. Tambien en Formosa habiendo sido citado para Santiago del Estero y Chaco. Probablemente En peligro 0 vulnerable.
99,Drimys brasiliensis ,Miers,Endangered,Arbusto 0 arbol pequefio s610 presente en la Argentina en Misiones.
100,Bulnesia retama ,(Hooker et Amott) Griseb.,Indeterminada (maybe Vulnerable),Retama Retamillo. Arbusto 0 arbol pequefio del oeste arido argentino des de Catamarca hasta Mendoza San Luis y C6rdoba. Tal vez vulnerable. En C6rdoba en regresion.
101,Bulnesia sarmientoi ,Lorentz & Griseb.,Indeterminada (maybe Vulnerable),Arbol del Chaco seco del norte del pais. Tal vez Vulnerable.
102,Lithraea ternifolia ,(Gillies) Barkley,Decreasing in the Cordoba province,
103,Aspidosperma quebracho-blanco ,Schletch.,Actively decreasing in the Cordoba province,
104,Tabebuia nodosa ,Griseb.,Decreasing in the Cordoba province,
105,Rhipsalis lumbricoides ,(Lem.),Actively decreasing in the Cordoba province,
106,Prosopis alba ,Griseb.,Actively decreasing in the Cordoba province,
107,Prosopis nigra ,(Griseb.) Hieron.,Decreasing in the Cordoba province,
108,Prosopis kuntzei ,Harms.,Actively decreasing in the Cordoba province,
109,Prosopis caldenia ,Burk.,Decreasing in the Cordoba province,
110,Myrcianthes cisplatensis ,(Camb.) Berg,Decreasing in the Cordoba province,
111,Ruprechtia apetala ,Weddell,Decreasing in the Cordoba province,
112,Fagara coco ,(Gill.) Engl.,Decreasing in the Cordoba province,
