"species.correct","N","dbh.crit","p","p.est","str.match"
"Inga aptera",6,NA,NA,"0.5122","unknown_small_tree"
"Inga blanchetiana",2,12.5,0,"0.4498","early_secondary_large_tree"
"Inga capitata",43,12.5,0.302325581395349,"0.4498","early_secondary_large_tree"
"Inga cylindrica",6,12.5,0.666666666666667,"0.4498","early_secondary_large_tree"
"Inga edulis",100,12.5,0.55,"0.4498","early_secondary_large_tree"
"Inga flagelliformis",2,15,0.5,"0.3047","late_secondary_large_tree"
"Inga grazielae",2,NA,NA,"0.5122","unknown_small_tree"
"Inga laurina",28,12.5,0.392857142857143,"0.4498","early_secondary_large_tree"
"Inga lenticellata",61,12.5,0.229508196721311,"0.4498","early_secondary_large_tree"
"Inga marginata",142,12.5,0.0704225352112676,"0.4498","early_secondary_large_tree"
"Inga mendoncaei",3,NA,NA,"0.3342","unknown_large_tree"
"Inga pedunculata",5,NA,NA,"0.3342","unknown_large_tree"
"Inga praegnans",10,8,0.3,"0.4927","late_secondary_small_tree"
"Inga sellowiana",66,12.5,0.393939393939394,"0.4498","early_secondary_large_tree"
"Inga sessilis",86,12.5,0.290697674418605,"0.4498","early_secondary_large_tree"
"Inga striata",239,12.5,0.644351464435146,"0.4498","early_secondary_large_tree"
"Inga subnuda",10,12.5,0,"0.4498","early_secondary_large_tree"
"Inga tenuis",9,NA,NA,"0.5122","unknown_small_tree"
"Inga thibaudiana",6,12.5,0.166666666666667,"0.4498","early_secondary_large_tree"
"Inga vera",8,12.5,0.75,"0.4498","early_secondary_large_tree"
"Ixora brevifolia",1,15,0,"0.3047","late_secondary_large_tree"
"Ixora burchelliana",65,7,0.784615384615385,"0.5998","early_secondary_small_tree"
"Ixora gardneriana",17,15,0.0588235294117647,"0.3047","late_secondary_large_tree"
"Ixora muelleri",1,9,1,"0.2868","climax_small_tree"
"Ixora venulosa",35,8,0.314285714285714,"0.4927","late_secondary_small_tree"
"Jacaranda macrantha",7,12.5,0.142857142857143,"0.4498","early_secondary_large_tree"
"Jacaranda micrantha",65,12.5,0.538461538461538,"0.4498","early_secondary_large_tree"
"Jacaranda puberula",271,12.5,0.324723247232472,"0.4498","early_secondary_large_tree"
"Jacaratia heptaphylla",21,12.5,0.380952380952381,"0.4498","early_secondary_large_tree"
"Jacaratia spinosa",69,12.5,0.695652173913043,"0.4498","early_secondary_large_tree"
"Kielmeyera albopunctata",5,7,0.8,"0.5998","early_secondary_small_tree"
"Kielmeyera itacarensis",4,NA,NA,"0.5122","unknown_small_tree"
"Kielmeyera membranacea",6,NA,NA,"0.5122","unknown_small_tree"
"Kielmeyera neglecta",7,12.5,0.142857142857143,"0.4498","early_secondary_large_tree"
"Kielmeyera rugosa",2,NA,NA,"0.5122","unknown_small_tree"
"Lacistema aggregatum",1,7,1,"0.5998","early_secondary_small_tree"
