"species.correct","N","dbh.crit","p","p.est","str.match"
"Tibouchina sellowiana",35,10,0.6,"0.5842","pioneer_large_tree"
"Tontelea attenuata",15,NA,NA,"0.3342","unknown_large_tree"
"Tovomita amazonica",14,NA,NA,NA,"NA_NA"
"Tovomita brevistaminea",2,8,1,"0.4927","late_secondary_small_tree"
"Tovomita choisyana",50,12.5,0.34,"0.4498","early_secondary_large_tree"
"Tovomita fructipendula",2,15,0,"0.3047","late_secondary_large_tree"
"Tovomita longifolia",97,NA,NA,"0.3342","unknown_large_tree"
"Tovomita mangle",38,9,0.263157894736842,"0.2868","climax_small_tree"
"Trema micrantha",30,10,0.566666666666667,"0.5842","pioneer_large_tree"
"Trichilia casaretti",42,15,0.0476190476190476,"0.3047","late_secondary_large_tree"
"Trichilia catigua",1006,12.5,0.0328031809145129,"0.4498","early_secondary_large_tree"
"Trichilia clausseni",1303,15,0.0406753645433615,"0.3047","late_secondary_large_tree"
"Trichilia elegans",4,15,0,"0.3047","late_secondary_large_tree"
"Trichilia florbranca",1,NA,NA,"0.5122","unknown_small_tree"
"Trichilia hirta",1,15,1,"0.3047","late_secondary_large_tree"
"Trichilia lepidota",141,20,0.113475177304965,"0.2533","climax_large_tree"
"Trichilia pallens",25,9,0.16,"0.2868","climax_small_tree"
"Trichilia pallida",335,15,0.0358208955223881,"0.3047","late_secondary_large_tree"
"Trichilia pleeana",3,NA,NA,"0.3342","unknown_large_tree"
"Trichilia pseudostipularis",3,9,0.333333333333333,"0.2868","climax_small_tree"
"Trichilia quadrijuga",8,12.5,0.75,"0.4498","early_secondary_large_tree"
"Trichilia ramalhoi",8,NA,NA,"0.3342","unknown_large_tree"
"Trichilia silvatica",16,8,0.5625,"0.4927","late_secondary_small_tree"
"Trichilia tetrapetala",3,8,0.333333333333333,"0.4927","late_secondary_small_tree"
"Unonopsis bahiensis",4,NA,NA,"0.3342","unknown_large_tree"
"Urera baccifera",54,6,0.833333333333333,"0.7213","pioneer_small_tree"
"Urera caracasana",6,6,0,"0.7213","pioneer_small_tree"
"Urera nitida",2,5,1,"1","pioneer_large_shrub"
"Vantanea bahiaensis",1,NA,NA,"0.5122","unknown_small_tree"
"Vantanea compacta",184,15,0.619565217391304,"0.3047","late_secondary_large_tree"
"Vataireopsis araroba",8,12.5,0.375,"0.4498","early_secondary_large_tree"
"Vernonanthura discolor",2,10,1,"0.5842","pioneer_large_tree"
"Vernonanthura divaricata",16,10,0.625,"0.5842","pioneer_large_tree"
"Vernonanthura puberula",9,10,1,"0.5842","pioneer_large_tree"
"Virola bicuhyba",514,15,0.478599221789883,"0.3047","late_secondary_large_tree"
"Virola gardneri",36,15,0.388888888888889,"0.3047","late_secondary_large_tree"
"Virola officinalis",98,15,0.459183673469388,"0.3047","late_secondary_large_tree"
"Virola pavonis",1,NA,NA,NA,"NA_NA"
"Vismia guianensis",10,6,0.5,"0.7213","pioneer_small_tree"
"Vitex megapotamica",18,12.5,0.277777777777778,"0.4498","early_secondary_large_tree"
"Vitex orinocensis",5,12.5,1,"0.4498","early_secondary_large_tree"
"Vitex polygama",23,12.5,0.478260869565217,"0.4498","early_secondary_large_tree"
"Vochysia bifalcata",501,12.5,0.612774451097804,"0.4498","early_secondary_large_tree"
"Vochysia rectiflora",1,NA,NA,"0.3342","unknown_large_tree"
"Vochysia riedeliana",40,NA,NA,"0.3342","unknown_large_tree"
"Vochysia selloi",1,NA,NA,"0.5122","unknown_small_tree"
"Vochysia tucanorum",1,12.5,1,"0.4498","early_secondary_large_tree"
"Weinmannia discolor",13,15,0.538461538461538,"0.3047","late_secondary_large_tree"
"Weinmannia paulliniifolia",69,12.5,0.594202898550725,"0.4498","early_secondary_large_tree"
"Ximenia americana",1,NA,NA,"0.5122","unknown_small_tree"
"Xylopia brasiliensis",66,12.5,0.46969696969697,"0.4498","early_secondary_large_tree"
"Xylopia laevigata",4,15,0.25,"0.3047","late_secondary_large_tree"
"Xylopia langsdorffiana",1101,12.5,0.0772025431425976,"0.4498","early_secondary_large_tree"
"Xylopia ochrantha",11,15,0,"0.3047","late_secondary_large_tree"
"Xylopia sericea",2,10,0.5,"0.5842","pioneer_large_tree"
"Xylosma glaberrima",5,7,0.8,"0.5998","early_secondary_small_tree"
"Xylosma pseudosalzmannii",5,12.5,0.2,"0.4498","early_secondary_large_tree"
"Xylosma tweediana",2,7,1,"0.5998","early_secondary_small_tree"
"Zanthoxylum acuminatum",18,12.5,0.166666666666667,"0.4498","early_secondary_large_tree"
"Zanthoxylum caribaeum",24,12.5,0.5,"0.4498","early_secondary_large_tree"
"Zanthoxylum fagara",54,12.5,0.259259259259259,"0.4498","early_secondary_large_tree"
"Zanthoxylum monogynum",31,7,0.645161290322581,"0.5998","early_secondary_small_tree"
"Zanthoxylum nemorale",7,12.5,0,"0.4498","early_secondary_large_tree"
"Zanthoxylum petiolare",1,12.5,1,"0.4498","early_secondary_large_tree"
"Zanthoxylum rhoifolium",89,12.5,0.224719101123595,"0.4498","early_secondary_large_tree"
"Zanthoxylum riedelianum",6,12.5,0.333333333333333,"0.4498","early_secondary_large_tree"
"Zanthoxylum tingoassuiba",2,12.5,0.5,"0.4498","early_secondary_large_tree"
"Zeyheria tuberculosa",106,15,0.320754716981132,"0.3047","late_secondary_large_tree"
"Zollernia glabra",21,8,0.428571428571429,"0.4927","late_secondary_small_tree"
"Zollernia ilicifolia",128,15,0.3671875,"0.3047","late_secondary_large_tree"
"Zollernia magnifica",17,NA,NA,"0.3342","unknown_large_tree"
"Zollernia modesta",8,15,0.625,"0.3047","late_secondary_large_tree"
