"validName","name","speciesName","speciesAuthor","infraType","infrarankAuthor","infrarankName"
"Acalypha multicaulis","Acalypha multicaulis var. genuina","Acalypha multicaulis",NA,"var.","Müll.Arg.","genuina"
"Acalypha multicaulis","Acalypha multicaulis var. glabrescens","Acalypha multicaulis",NA,"var.","Pax & K.Hoffm.","glabrescens"
"Acalypha multicaulis","Acalypha multicaulis var. tenuispica","Acalypha multicaulis",NA,"var.","Pax & K.Hoffm.","tenuispica"
"Acalypha multicaulis","Acalypha multicaulis var. tomentella","Acalypha multicaulis",NA,"var.","Müll.Arg.","tomentella"
"Acalypha multicaulis","Acalypha tenuicaulis","Acalypha tenuicaulis","Baill.",NA,NA,NA
"Acalypha villosa","Acalypha subvillosa","Acalypha subvillosa","Müll.Arg.",NA,NA,NA
"Acalypha villosa","Acalypha karsteniana","Acalypha karsteniana","Pax & K.Hoffm.",NA,NA,NA
"Acalypha villosa","Acalypha linostachys","Acalypha linostachys","Baill.",NA,NA,NA
"Acalypha villosa","Acalypha muricata","Acalypha muricata","Klotzsch ex Pax & K.Hoffm.",NA,NA,NA
"Acalypha villosa","Acalypha villosa var. genuina","Acalypha villosa",NA,"var.","Müll.Arg.","genuina"
"Acalypha villosa","Acalypha villosa var. intermedia","Acalypha villosa",NA,"var.","Müll.Arg.","intermedia"
"Acalypha villosa","Acalypha villosa var. latiuscula","Acalypha villosa",NA,"var.","Pax & K.Hoffm.","latiuscula"
"Acalypha villosa","Acalypha villosa var. paniculata","Acalypha villosa",NA,"var.","(Müll.Arg.) Pax & K.Hoffm.","paniculata"
"Acalypha villosa","Acalypha villosa var. tomentosa","Acalypha villosa",NA,"var.","Müll.Arg.","tomentosa"
"Acalypha villosa","Acalypha villosa var. trichopoda","Acalypha villosa",NA,"var.","Müll.Arg.","trichopoda"
"Acanthocladus brasiliensis","Polygala klotzschii","Polygala klotzschii","Chodat",NA,NA,NA
"Acanthocladus dichromus","Acanthocladus albicans","Acanthocladus albicans","A.W.Benn.",NA,NA,NA
"Acanthocladus dichromus","Polygala dichroma","Polygala dichroma","Steud.",NA,NA,NA
"Acanthocladus pulcherrimus","Polygala pulcherrima","Polygala pulcherrima","Kuhlm.",NA,NA,NA
"Acanthocladus santosii","Polygala santosii","Polygala santosii","Wurdack",NA,NA,NA
"Acanthosyris spinescens","Osyris spinescens","Osyris spinescens","Mart. & Eichler",NA,NA,NA
"Acca sellowiana","Feijoa obovata","Feijoa obovata","(O.Berg) O.Berg",NA,NA,NA
"Acca sellowiana","Feijoa schenckiana","Feijoa schenckiana","Kiaersk.",NA,NA,NA
"Acca sellowiana","Feijoa sellowiana","Feijoa sellowiana","(O.Berg) O.Berg",NA,NA,NA
"Acca sellowiana","Feijoa sellowiana var. rugosa","Feijoa sellowiana",NA,"var.","Mattos","rugosa"
"Acca sellowiana","Orthostemon obovatus","Orthostemon obovatus","O.Berg",NA,NA,NA
"Acca sellowiana","Orthostemon sellowianus","Orthostemon sellowianus","O.Berg",NA,NA,NA
"Acca sellowiana","Acca sellowiana var. rugosa","Acca sellowiana",NA,"var.","(Mattos) Mattos","rugosa"
"Accara elegans","Psidium stictophyllum","Psidium stictophyllum","(Kiaersk.) Mattos",NA,NA,NA
"Accara elegans","Guajava elegans","Guajava elegans","(DC.) Kuntze",NA,NA,NA
"Accara elegans","Myrtus elegans","Myrtus elegans","DC.",NA,NA,NA
"Accara elegans","Myrtus stictophylla","Myrtus stictophylla","Kiaersk.",NA,NA,NA
