family,species,records outside the AF,records out.in transition,records in.out transition,records inside the AF,endemism level (validated taxonomy only),group of species (validated taxonomy only),endemism level (validated and probably validated taxonomy),group of species (validated and probably validated taxonomy),endemism accepted by the BF-2020
Myrtaceae,Myrcia cardiaca,11,0,0,2,8.333333,occasional,15.384615,widespread,Not in the AF
Myrtaceae,Myrcia carvalhoi,0,0,0,18,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia cataphyllata,0,0,0,2,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia catharinensis,0,0,0,7,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia caudata,70,0,0,1,1.408451,occasional,1.408451,occasional,Not in the AF
Myrtaceae,Myrcia cerqueiria,0,0,0,50,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia cionei,0,0,0,3,100,pure_endemic,100,pure_endemic,NA
Myrtaceae,Myrcia citrifolia,15,3,0,9,37.209302,widespread,35.294118,widespread,Not in the AF
Myrtaceae,Myrcia clavata,0,0,0,7,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia clavija,0,0,0,5,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia clusiifolia,65,0,0,2,3.030303,occasional,2.985075,occasional,Not in the AF
Myrtaceae,Myrcia coelosepala,0,0,4,30,100,pure_endemic,100,pure_endemic,Not endemic
Myrtaceae,Myrcia colpodes,0,0,0,1,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia concisa,0,0,0,6,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia congestiflora,0,0,0,10,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia cordiformis,0,0,0,2,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia cordiifolia,0,0,0,8,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia costeira,0,0,0,9,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia crassa,0,0,0,4,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia crocea,0,0,0,33,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia cuprea,52,0,0,3,5.769231,occasional,5.454545,occasional,Not in the AF
Myrtaceae,Myrcia curtipendula,0,0,0,26,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia decorticans,53,12,8,142,71.144279,widespread,71.219512,widespread,Not endemic
Myrtaceae,Myrcia densa,43,84,46,40,43.150685,widespread,42.567568,widespread,Not endemic
Myrtaceae,Myrcia diaphana,2,0,0,16,88.235294,near_endemic,88.888889,widespread,Endemic
Myrtaceae,Myrcia dichrophylla,0,1,0,58,99.130435,near_endemic,99.145299,near_endemic,Endemic
Myrtaceae,Myrcia dolichopetala,0,0,0,4,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia egensis,0,0,0,1,100,pure_endemic,100,pure_endemic,Not in the AF
Myrtaceae,Myrcia eriocalyx,47,33,29,122,68.337731,widespread,68.25,widespread,Not endemic
Myrtaceae,Myrcia eriopus,12,0,2,130,91.549296,near_endemic,91.608392,near_endemic,Not endemic
Myrtaceae,Myrcia espiritosantensis,0,0,0,11,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia eugeniopsoides,0,0,0,220,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia eumecephylla,0,0,0,36,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia eximia,32,1,1,19,43.333333,widespread,37.5,widespread,Not endemic
Myrtaceae,Myrcia felisbertii,0,0,0,1,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia fenzliana,161,16,17,17,15.50152,widespread,13.11054,widespread,Not endemic
Myrtaceae,Myrcia ferruginea,42,1,1,2,5.555556,occasional,5.555556,occasional,Not in the AF
Myrtaceae,Myrcia ferruginosa,0,0,1,136,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia flagellaris,0,0,1,75,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia florida,0,0,0,2,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia floridissima,0,0,0,7,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia freyreissiana,0,0,0,20,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia gestasiana,3,0,1,2,45.454545,widespread,45.454545,widespread,Endemic
Myrtaceae,Myrcia gigantea,0,0,0,6,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia gilsoniana,0,0,0,9,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia glabra,4,12,4,79,92.168675,near_endemic,89.010989,widespread,Endemic
Myrtaceae,Myrcia glazioviana,1,0,0,6,85.714286,widespread,85.714286,widespread,Endemic
Myrtaceae,Myrcia grandifolia,0,0,0,44,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia grazielae,0,0,0,8,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia guianensis,1824,301,183,1347,41.619729,widespread,42.147671,widespread,Not endemic
Myrtaceae,Myrcia hartwegiana,31,16,3,375,91.842475,near_endemic,90.613718,near_endemic,Endemic
Myrtaceae,Myrcia hatschbachii,0,3,1,87,99.159664,near_endemic,98.314607,near_endemic,Endemic
Myrtaceae,Myrcia hebepetala,8,7,4,236,94.967177,near_endemic,95.390782,near_endemic,Endemic
Myrtaceae,Myrcia heringii,0,0,0,18,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia hexasticha,0,0,0,25,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia hirtiflora,0,1,2,89,99.447514,near_endemic,99.447514,near_endemic,Endemic
Myrtaceae,Myrcia ilheosensis,10,11,11,240,93.673469,near_endemic,94.061303,near_endemic,Endemic
Myrtaceae,Myrcia inaequiloba,214,0,0,37,12.863071,widespread,14.741036,widespread,Not endemic
Myrtaceae,Myrcia inconspicua,0,0,0,14,100,pure_endemic,100,pure_endemic,Endemic
