family,species,records outside the AF,records out.in transition,records in.out transition,records inside the AF,endemism level (validated taxonomy only),group of species (validated taxonomy only),endemism level (validated and probably validated taxonomy),group of species (validated and probably validated taxonomy),endemism accepted by the BF-2020
Fabaceae,Albizia niopoides,192,13,4,52,21.609195,widespread,21.386139,widespread,Not endemic
Fabaceae,Albizia pedicellaris,112,4,10,223,66.984127,widespread,66.666667,widespread,Not endemic
Fabaceae,Albizia polycephala,86,27,37,191,67.615658,widespread,67.799353,widespread,Not endemic
Fabaceae,Amburana cearensis,129,25,4,22,16.666667,widespread,14.501511,widespread,Not endemic
Fabaceae,Anadenanthera colubrina,950,125,87,371,27.773001,widespread,29.046952,widespread,Not endemic
Fabaceae,Anadenanthera peregrina,265,45,15,162,40.41721,widespread,37.089716,widespread,Not endemic
Fabaceae,Andira anthelmia,4,6,0,112,94.845361,near_endemic,94.117647,near_endemic,Not endemic
Fabaceae,Andira carvalhoi,0,0,0,34,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Andira cordata,57,1,4,1,6.060606,occasional,4.958678,occasional,Not in the AF
Fabaceae,Andira fraxinifolia,65,49,27,583,85.896414,widespread,86.953353,widespread,Not endemic
Fabaceae,Andira humilis,204,55,22,50,23.721881,widespread,20.854701,widespread,Not in the AF
Fabaceae,Andira inermis,400,1,0,7,2.380952,occasional,1.717791,occasional,Not endemic
Fabaceae,Andira legalis,2,2,0,92,96.73913,near_endemic,96.842105,near_endemic,Endemic
Fabaceae,Andira marauensis,0,0,0,15,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Andira nitida,3,1,0,183,97.959184,near_endemic,98.123324,near_endemic,Endemic
Fabaceae,Andira ormosioides,2,6,0,76,95,near_endemic,93.82716,near_endemic,Endemic
Fabaceae,Andira surinamensis,109,17,0,7,6.57277,occasional,5.62249,occasional,Not in the AF
Fabaceae,Andira vermifuga,177,10,5,9,6.424581,occasional,5.943152,occasional,Not endemic
Fabaceae,Apuleia leiocarpa,210,34,13,240,52.680965,widespread,52.059134,widespread,Not endemic
Fabaceae,Arapatiella emarginata,0,0,0,10,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Arapatiella psilophylla,0,0,0,75,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Ateleia glazioveana,1,2,0,62,98.305085,near_endemic,96.875,near_endemic,Endemic
Fabaceae,Ateleia guaraya,35,3,1,1,3.636364,occasional,3.947368,occasional,Not in the AF
Fabaceae,Ateleia venezuelensis,0,0,0,1,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Barnebydendron riedelii,21,0,0,52,74.626866,widespread,71.232877,widespread,Not endemic
Fabaceae,Bauhinia acreana,86,0,0,6,6.666667,occasional,6.521739,occasional,Not in the AF
Fabaceae,Bauhinia acuruana,189,44,16,9,7.211538,occasional,7.45614,occasional,Not in the AF
Fabaceae,Bauhinia affinis,0,0,0,44,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Bauhinia albicans,0,0,0,10,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Bauhinia bauhinioides,65,5,2,3,5.673759,occasional,5.594406,occasional,Not in the AF
Fabaceae,Bauhinia brevipes,216,19,22,8,8.172043,occasional,7.770961,occasional,Not in the AF
Fabaceae,Bauhinia catingae,49,22,13,10,21.568627,widespread,21.568627,widespread,Not in the AF
Fabaceae,Bauhinia cheilantha,288,21,9,14,6.026365,occasional,5.835962,occasional,Not in the AF
Fabaceae,Bauhinia corniculata,21,1,0,1,4.444444,occasional,4.444444,occasional,Not in the AF
Fabaceae,Bauhinia cupulata,127,0,1,4,2.723735,occasional,3.422053,occasional,Not in the AF
Fabaceae,Bauhinia forficata,85,50,22,673,86.02462,widespread,86.146096,widespread,Endemic
Fabaceae,Bauhinia fusconervis,0,0,2,21,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Bauhinia glaziovii,0,0,0,4,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Bauhinia holophylla,149,17,8,36,20.320856,widespread,20.253165,widespread,Not in the AF
Fabaceae,Bauhinia integerrima,0,0,1,17,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Bauhinia longicuspis,209,0,0,5,2.617801,occasional,2.336449,occasional,Not in the AF
Fabaceae,Bauhinia longifolia,194,46,24,324,60.546139,widespread,60.759494,widespread,Not endemic
Fabaceae,Bauhinia membranacea,20,0,2,2,13.043478,widespread,13.043478,widespread,Not in the AF
Fabaceae,Bauhinia mollis,103,5,0,9,8.530806,occasional,7.860262,occasional,Not in the AF
Fabaceae,Bauhinia ovata,0,0,0,46,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Bauhinia pentandra,211,36,20,22,11.752137,widespread,12.260536,widespread,Not in the AF
Fabaceae,Bauhinia pinheiroi,0,0,0,6,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Bauhinia pulchella,284,37,19,8,5.427632,occasional,5.46875,occasional,Not in the AF
Fabaceae,Bauhinia rufa,463,50,32,76,15.440509,widespread,15.862069,widespread,Not in the AF
Fabaceae,Bauhinia subclavata,80,7,1,2,2.39521,occasional,2.906977,occasional,Not in the AF
Fabaceae,Bauhinia ungulata,908,57,21,60,6.979222,occasional,7.000993,occasional,Not endemic
Fabaceae,Bauhinia uruguayensis,10,0,0,22,65.517241,widespread,68.75,widespread,Not endemic
Fabaceae,Blanchetiodendron blanchetii,13,6,8,12,50,widespread,50,widespread,Not endemic
Fabaceae,Bowdichia virgilioides,387,57,36,185,32.879377,widespread,32.821342,widespread,Not endemic
Fabaceae,Brodriguesia santosii,0,0,0,45,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Brownea grandiceps,36,1,1,1,4.054054,occasional,3.947368,occasional,Not in the AF
Fabaceae,Calliandra asplenioides,63,19,21,9,21.666667,widespread,21.195652,widespread,Not in the AF
Fabaceae,Calliandra bella,3,3,0,65,93.846154,near_endemic,93.52518,near_endemic,Not endemic
Fabaceae,Calliandra brevipes,12,30,19,136,79.220779,widespread,84.347826,widespread,Not endemic
Fabaceae,Calliandra calycina,4,8,19,17,76.470588,widespread,76.811594,widespread,Not in the AF
Fabaceae,Calliandra duckei,1,0,0,1,50,widespread,50,widespread,Not in the AF
Fabaceae,Calliandra dysantha,252,44,26,29,14.727273,widespread,13.291139,widespread,Not in the AF
Fabaceae,Calliandra erubescens,0,13,17,1,58.62069,widespread,59.375,widespread,Not in the AF
Fabaceae,Calliandra foliolosa,33,8,7,155,78.291815,widespread,81.074169,widespread,Not endemic
Fabaceae,Calliandra harrisii,5,3,0,40,85.714286,widespread,86.021505,widespread,Not endemic
Fabaceae,Calliandra lintea,0,1,1,10,95.454545,near_endemic,95.454545,near_endemic,Not in the AF
Fabaceae,Calliandra macrocalyx,38,27,10,4,14.953271,widespread,14.876033,widespread,Not in the AF
Fabaceae,Calliandra parviflora,214,6,2,17,8.521303,occasional,7.659574,occasional,Not in the AF
Fabaceae,Calliandra parvifolia,63,16,14,51,43.722944,widespread,44.96124,widespread,Not endemic
Fabaceae,Calliandra sessilis,51,42,22,3,16.363636,widespread,16.27907,widespread,Not in the AF
Fabaceae,Calliandra squarrosa,6,0,2,2,37.5,widespread,33.333333,widespread,Not in the AF
Fabaceae,Calliandra surinamensis,192,4,2,15,6.666667,occasional,7.619048,occasional,Not in the AF
Fabaceae,Calliandra tweedii,27,29,8,94,65.566038,widespread,70.250896,widespread,Not endemic
Fabaceae,Cassia fastuosa,104,0,0,6,4.123711,occasional,5.454545,occasional,Not in the AF
Fabaceae,Cassia ferruginea,82,24,20,110,54.644809,widespread,56.074766,widespread,Not endemic
Fabaceae,Cassia grandis,148,4,6,25,17.228464,widespread,15.730337,widespread,Not endemic
Fabaceae,Cassia leptophylla,2,3,2,60,94.565217,near_endemic,94.573643,near_endemic,Endemic
Fabaceae,Cenostigma bracteosum,245,23,3,4,2.340426,occasional,2.099237,occasional,Not in the AF
Fabaceae,Cenostigma laxiflorum,51,12,6,1,6.542056,occasional,6.557377,occasional,Not in the AF
Fabaceae,Cenostigma macrophyllum,310,60,16,3,3.559871,occasional,3.133903,occasional,Not in the AF
Fabaceae,Cenostigma microphyllum,159,3,1,1,1.038062,occasional,0.925926,occasional,Not in the AF
Fabaceae,Cenostigma nordestinum,109,13,3,2,3.0837,occasional,2.941176,occasional,Not in the AF
Fabaceae,Cenostigma pluviosum,410,103,15,363,43.329253,widespread,44.53125,widespread,Not endemic
Fabaceae,Cenostigma pyramidale,256,23,15,30,14.806867,widespread,12.295082,widespread,Not in the AF
Fabaceae,Centrolobium microchaete,11,3,5,59,84.42623,widespread,83.108108,widespread,Endemic
Fabaceae,Centrolobium robustum,3,0,0,34,94.285714,near_endemic,91.891892,near_endemic,Endemic
Fabaceae,Centrolobium sclerophyllum,5,8,2,40,82,widespread,82,widespread,Not endemic
Fabaceae,Centrolobium tomentosum,18,7,8,110,84.162896,widespread,84.132841,widespread,Not endemic
Fabaceae,Chamaecrista amabilis,0,0,0,8,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Chamaecrista amorimii,0,0,0,4,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Chamaecrista apoucouita,37,1,0,11,13.333333,widespread,22.680412,widespread,Not in the AF
Fabaceae,Chamaecrista aspidiifolia,2,0,0,3,60,widespread,60,widespread,Endemic
Fabaceae,Chamaecrista aspleniifolia,0,0,0,18,100,pure_endemic,100,pure_endemic,Not endemic
Fabaceae,Chamaecrista bahiae,56,0,0,39,41.489362,widespread,41.052632,widespread,Not endemic
Fabaceae,Chamaecrista belemii,28,11,5,4,17.333333,widespread,16.25,widespread,Not in the AF
Fabaceae,Chamaecrista blanchetii,13,67,71,39,61.506276,widespread,61.570248,widespread,Not endemic
Fabaceae,Chamaecrista brachystachya,42,17,33,22,44.508671,widespread,43.258427,widespread,Not in the AF
Fabaceae,Chamaecrista catharticoides,0,0,0,12,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Chamaecrista compitalis,0,0,0,4,100,pure_endemic,100,pure_endemic,Not endemic
Fabaceae,Chamaecrista confertiformis,0,11,42,1,80,widespread,80,widespread,Not in the AF
Fabaceae,Chamaecrista cytisoides,14,8,10,36,66.037736,widespread,69.491525,widespread,Not in the AF
Fabaceae,Chamaecrista dentata,11,19,3,10,43.396226,widespread,35.9375,widespread,Not in the AF
Fabaceae,Chamaecrista duartei,0,0,0,34,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Chamaecrista eitenorum,33,7,0,15,30.927835,widespread,29.126214,widespread,Not in the AF
Fabaceae,Chamaecrista ensiformis,148,40,12,290,63.448276,widespread,63.793103,widespread,Not endemic
Fabaceae,Chamaecrista fodinarum,3,0,0,1,25,widespread,25,widespread,Not in the AF
Fabaceae,Chamaecrista glandulosa,98,4,0,22,22.38806,widespread,18.032787,widespread,Not endemic
Fabaceae,Chamaecrista hedysaroides,50,0,0,6,11.111111,widespread,10.714286,widespread,Not in the AF
Fabaceae,Chamaecrista multiseta,50,4,0,2,3.809524,occasional,3.703704,occasional,Not in the AF
Fabaceae,Chamaecrista nictitans,374,52,13,199,33.166833,widespread,33.938893,widespread,Not endemic
Fabaceae,Chamaecrista onusta,0,0,0,8,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Chamaecrista pilicarpa,0,0,0,1,100,pure_endemic,100,pure_endemic,Not in the AF
Fabaceae,Chamaecrista pteropoda,0,0,0,2,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Chamaecrista ramosa,249,61,14,198,40.465116,widespread,42.311662,widespread,Not endemic
Fabaceae,Chamaecrista roraimae,36,17,20,2,21.238938,widespread,21.238938,widespread,Not in the AF
Fabaceae,Chamaecrista sincorana,1,5,8,10,80,widespread,80,widespread,Not in the AF
Fabaceae,Chamaecrista unijuga,1,0,0,11,91.666667,near_endemic,91.666667,near_endemic,Endemic
Fabaceae,Chamaecrista zygophylloides,82,38,41,23,30.035336,widespread,30.103806,widespread,Not endemic
Fabaceae,Chloroleucon acacioides,65,14,1,11,13.939394,widespread,13.772455,widespread,Not endemic
Fabaceae,Chloroleucon dumosum,52,4,10,22,33.766234,widespread,33.333333,widespread,Not endemic
Fabaceae,Chloroleucon extortum,1,1,1,3,70,widespread,70,widespread,Not in the AF
Fabaceae,Chloroleucon foliolosum,109,25,10,22,14.339623,widespread,18.181818,widespread,Not endemic
Fabaceae,Chloroleucon tenuiflorum,126,3,3,5,5.327869,occasional,4.850746,occasional,Not endemic
Fabaceae,Chloroleucon tortum,6,2,0,54,87.719298,widespread,88.52459,widespread,Not endemic
Fabaceae,Clitoria amazonum,106,0,0,1,1.098901,occasional,0.934579,occasional,Not in the AF
Fabaceae,Copaifera arenicola,15,5,1,3,17.073171,widespread,16.666667,widespread,Not in the AF
Fabaceae,Copaifera cearensis,20,5,1,8,28.333333,widespread,27.419355,widespread,Not in the AF
Fabaceae,Copaifera duckei,28,1,4,8,25,widespread,25.974026,widespread,Not endemic
Fabaceae,Copaifera elliptica,32,0,1,1,4.615385,occasional,4.477612,occasional,Not in the AF
Fabaceae,Copaifera langsdorffii,406,80,73,209,34.201077,widespread,35.502531,widespread,Not endemic
Fabaceae,Copaifera lucens,6,2,2,67,89.855072,near_endemic,90.666667,near_endemic,Endemic
Fabaceae,Copaifera luetzelburgii,76,3,6,3,5.194805,occasional,7.185629,occasional,Not in the AF
Fabaceae,Copaifera majorina,0,0,0,4,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Copaifera martii,180,14,4,3,2.678571,occasional,2.604167,occasional,Not in the AF
Fabaceae,Copaifera oblongifolia,82,1,1,2,3.125,occasional,2.941176,occasional,Not in the AF
Fabaceae,Copaifera reticulata,54,0,0,11,10,occasional,16.923077,widespread,Not in the AF
Fabaceae,Copaifera trapezifolia,7,6,1,94,89.102564,near_endemic,90.430622,near_endemic,Endemic
Fabaceae,Coursetia caatingicola,5,3,2,5,48,widespread,48,widespread,Not in the AF
Fabaceae,Coursetia ferruginea,33,0,0,4,11.428571,widespread,10.810811,widespread,Not in the AF
Fabaceae,Coursetia rostrata,57,20,5,2,6.293706,occasional,6.293706,occasional,Not in the AF
Fabaceae,Coursetia vicioides,0,1,1,3,87.5,widespread,87.5,widespread,Not in the AF
Fabaceae,Cratylia argentea,219,16,14,20,8.050847,occasional,10.629921,widespread,Not in the AF
Fabaceae,Cratylia mollis,121,15,3,3,3.6,occasional,3.383459,occasional,Not in the AF
Fabaceae,Crudia bracteata,10,0,0,1,9.090909,occasional,9.090909,widespread,Not in the AF
Fabaceae,Crudia tomentosa,16,0,0,1,7.142857,occasional,5.882353,occasional,Not in the AF
Fabaceae,Cyclolobium brasiliense,102,14,6,43,23.92638,widespread,29.677419,widespread,Not endemic
Fabaceae,Dahlstedtia araripensis,161,44,7,7,5.660377,occasional,5.426357,occasional,Not in the AF
Fabaceae,Dahlstedtia bahiana,0,0,0,8,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Dahlstedtia castaneifolia,2,0,0,1,33.333333,widespread,33.333333,widespread,Not in the AF
Fabaceae,Dahlstedtia floribunda,2,0,3,94,98.333333,near_endemic,97.948718,near_endemic,Endemic
Fabaceae,Dahlstedtia glaziovii,0,0,0,5,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Dahlstedtia grandiflora,0,0,0,4,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Dahlstedtia lewisiana,0,0,0,1,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Dahlstedtia muehlbergiana,16,14,19,150,85.964912,widespread,87.39726,widespread,Endemic
Fabaceae,Dahlstedtia peckoltii,0,0,0,4,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Dahlstedtia pentaphylla,0,3,1,164,98.598131,near_endemic,99.096386,near_endemic,Endemic
Fabaceae,Dahlstedtia pinnata,1,0,0,146,99.056604,near_endemic,99.319728,near_endemic,Endemic
Fabaceae,Dalbergia acuta,23,3,5,8,28.985507,widespread,30,widespread,Not in the AF
Fabaceae,Dalbergia brasiliensis,1,1,2,154,100,pure_endemic,99.041534,near_endemic,Not endemic
Fabaceae,Dalbergia cearensis,87,13,5,2,5.05618,occasional,4.591837,occasional,Not endemic
Fabaceae,Dalbergia decipularis,26,7,2,10,26.315789,widespread,27.160494,widespread,Not endemic
Fabaceae,Dalbergia ecastaphyllum,86,15,0,307,74.146341,widespread,76.654182,widespread,Not endemic
Fabaceae,Dalbergia elegans,0,0,0,12,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Dalbergia ernest-ulei,0,0,0,6,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Dalbergia foliolosa,31,6,2,103,80,widespread,75.362319,widespread,Not endemic
Fabaceae,Dalbergia foliosa,37,0,0,2,5.263158,occasional,5.128205,occasional,Not in the AF
Fabaceae,Dalbergia frutescens,149,55,49,914,82.674419,widespread,84.170404,widespread,Not endemic
Fabaceae,Dalbergia glaucescens,2,3,4,6,66.666667,widespread,69.565217,widespread,Not endemic
Fabaceae,Dalbergia glaziovii,0,0,0,19,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Dalbergia gracilis,65,0,0,1,1.666667,occasional,1.515152,occasional,Not in the AF
Fabaceae,Dalbergia hortensis,5,0,0,4,44.444444,widespread,44.444444,widespread,Not in the AF
Fabaceae,Dalbergia miscolobium,216,75,34,81,28.907563,widespread,27.880512,widespread,Not in the AF
Fabaceae,Dalbergia monetaria,227,0,0,1,0.518135,occasional,0.438596,occasional,Not in the AF
Fabaceae,Dalbergia nigra,13,10,6,180,91.436464,near_endemic,91.044776,near_endemic,Endemic
Fabaceae,Dalbergia villosa,9,5,4,53,85.470085,widespread,82.706767,widespread,Not in the AF
Fabaceae,Deguelia costata,7,2,6,42,84.313725,widespread,84.90566,widespread,Endemic
Fabaceae,Deguelia hatschbachii,0,0,0,21,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Deguelia spruceana,35,0,0,4,10.25641,widespread,10.25641,widespread,Not in the AF
Fabaceae,Derris leucanthus,0,0,0,1,100,pure_endemic,100,pure_endemic,NA
Fabaceae,Dialium guianense,466,0,0,128,26.585366,widespread,21.548822,widespread,Not endemic
Fabaceae,Dimorphandra exaltata,2,1,1,20,91.111111,near_endemic,89.130435,widespread,Endemic
Fabaceae,Dimorphandra gardneriana,137,14,3,4,3.26087,occasional,3.67893,occasional,Not in the AF
Fabaceae,Dimorphandra jorgei,0,0,1,26,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Dimorphandra mollis,243,13,3,7,3.950617,occasional,3.294574,occasional,Not in the AF
Fabaceae,Dinizia jueirana-facao,0,0,0,8,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Diplotropis ferruginea,8,0,2,14,70,widespread,65.217391,widespread,Endemic
Fabaceae,Diplotropis incexis,4,0,2,75,94.936709,near_endemic,95,near_endemic,Endemic
Fabaceae,Diplotropis purpurea,98,0,0,1,1.265823,occasional,1.010101,occasional,Not in the AF
Fabaceae,Dipteryx alata,136,8,1,5,2.727273,occasional,3.780069,occasional,Not in the AF
Fabaceae,Dipteryx odorata,115,0,0,7,6.315789,occasional,5.737705,occasional,Not in the AF
Fabaceae,Diptychandra aurantiaca,162,22,8,7,6.752412,occasional,5.978261,occasional,Not endemic
Fabaceae,Enterolobium contortisiliquum,162,37,14,99,33.252427,widespread,36.998255,widespread,Not endemic
Fabaceae,Enterolobium glaziovii,2,0,0,26,92.857143,near_endemic,92.857143,near_endemic,Endemic
Fabaceae,Enterolobium gummiferum,159,19,12,6,6.811146,occasional,6.648199,occasional,Not in the AF
Fabaceae,Enterolobium maximum,54,0,0,3,3.636364,occasional,5.263158,occasional,Not in the AF
Fabaceae,Enterolobium monjollo,0,0,1,22,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Enterolobium schomburgkii,242,0,0,4,1.886792,occasional,1.626016,occasional,Not in the AF
Fabaceae,Enterolobium timbouva,77,14,7,26,25.688073,widespread,25.991189,widespread,Not endemic
Fabaceae,Erythrina crista-galli,93,17,6,176,63.888889,widespread,63.814617,widespread,Not endemic
Fabaceae,Erythrina falcata,49,5,8,185,77.57732,widespread,78.586279,widespread,Not endemic
Fabaceae,Erythrina fusca,175,1,0,52,22.604423,widespread,22.857143,widespread,Not in the AF
Fabaceae,Erythrina mulungu,78,4,1,13,13.450292,widespread,14.438503,widespread,Not in the AF
Fabaceae,Erythrina poeppigiana,109,1,0,19,16.438356,widespread,14.785992,widespread,Not in the AF
Fabaceae,Erythrina speciosa,40,15,6,288,87.868852,widespread,85.967504,widespread,Not endemic
Fabaceae,Erythrina velutina,108,13,9,45,30.434783,widespread,30.182927,widespread,Not in the AF
Fabaceae,Erythrina verna,22,1,0,91,82.02765,widespread,80.176211,widespread,Not endemic
Fabaceae,Exostyles glabra,0,0,0,2,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Exostyles godoyensis,0,5,0,24,92.307692,near_endemic,90.566038,near_endemic,Endemic
Fabaceae,Exostyles venusta,0,0,0,64,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Geoffroea spinosa,132,5,1,5,4.263566,occasional,3.928571,occasional,Not in the AF
Fabaceae,Gleditsia amorphoides,35,1,0,20,30,widespread,36.036036,widespread,Not endemic
Fabaceae,Goniorrhachis marginata,12,9,15,34,74.528302,widespread,71.551724,widespread,Not endemic
Fabaceae,Grazielodendron rio-docensis,0,0,0,25,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Guibourtia hymenaeifolia,32,6,1,3,9.333333,occasional,9.090909,widespread,Not endemic
Fabaceae,Guilandina bonduc,173,2,1,54,22.727273,widespread,23.851204,widespread,Endemic
Fabaceae,Harleyodendron unifoliolatum,0,0,0,58,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Harpalyce brasiliana,198,14,3,5,2.659574,occasional,3.073286,occasional,Not in the AF
Fabaceae,Heterostemon mimosoides,76,0,0,6,10.344828,widespread,7.317073,occasional,Not in the AF
Fabaceae,Holocalyx balansae,116,32,15,292,69.953052,widespread,69.409038,widespread,Not endemic
Fabaceae,Hymenaea altissima,1,0,0,53,98.148148,near_endemic,98.148148,near_endemic,Endemic
Fabaceae,Hymenaea aurea,4,0,0,31,87.878788,widespread,88.571429,widespread,Endemic
Fabaceae,Hymenaea cangaceira,24,2,0,3,10.714286,widespread,10.714286,widespread,Not in the AF
Fabaceae,Hymenaea courbaril,536,44,22,91,16.975881,widespread,15.454545,widespread,Not endemic
Fabaceae,Hymenaea eriogyne,82,23,4,1,3.208556,occasional,3.108808,occasional,Not in the AF
Fabaceae,Hymenaea fariana,0,0,0,24,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Hymenaea longifolia,37,5,0,1,2.531646,occasional,2.469136,occasional,Not in the AF
Fabaceae,Hymenaea martiana,124,28,7,19,13.621262,widespread,14.018692,widespread,Not endemic
Fabaceae,Hymenaea oblongifolia,110,1,0,11,7.111111,occasional,9.053498,widespread,Not in the AF
Fabaceae,Hymenaea parvifolia,193,0,1,1,0.817439,occasional,0.771208,occasional,Not in the AF
Fabaceae,Hymenaea rubriflora,4,6,0,61,88.709677,near_endemic,89.705882,widespread,Endemic
Fabaceae,Hymenaea stigonocarpa,400,54,37,15,7.894737,occasional,7.274701,occasional,Not in the AF
Fabaceae,Hymenolobium alagoanum,1,0,0,45,97.619048,near_endemic,97.826087,near_endemic,Endemic
Fabaceae,Hymenolobium janeirense,3,5,0,62,94.573643,near_endemic,91.851852,near_endemic,Endemic
Fabaceae,Hymenolobium nitidum,43,0,0,3,7.5,occasional,6.521739,occasional,Not in the AF
Fabaceae,Inga alba,366,1,1,3,1.050788,occasional,0.945946,occasional,Not in the AF
Fabaceae,Inga aptera,0,0,0,17,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Inga arenicola,0,0,0,2,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Inga barbata,0,1,0,74,99.224806,near_endemic,99.328859,near_endemic,Not endemic
Fabaceae,Inga blanchetiana,0,1,2,17,96.969697,near_endemic,97.297297,near_endemic,Endemic
Fabaceae,Inga bollandii,3,4,0,21,80,widespread,80.769231,widespread,Endemic
Fabaceae,Inga bullata,0,0,0,20,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Inga cabelo,0,0,0,10,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Inga capitata,350,6,8,429,57.346648,widespread,55.089059,widespread,Not endemic
Fabaceae,Inga cayennensis,112,0,0,76,42.528736,widespread,40.425532,widespread,Not endemic
Fabaceae,Inga ciliata,43,0,1,47,54.385965,widespread,52.486188,widespread,Not endemic
Fabaceae,Inga conchifolia,0,0,0,4,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Inga congesta,1,1,0,27,98.039216,near_endemic,94.736842,near_endemic,Endemic
Fabaceae,Inga cordistipula,4,0,0,34,93.75,near_endemic,89.473684,widespread,Endemic
Fabaceae,Inga cylindrica,134,6,3,59,32.5,widespread,30.632911,widespread,Not endemic
Fabaceae,Inga edulis,362,3,5,220,39.626784,widespread,37.969283,widespread,Not endemic
Fabaceae,Inga edwallii,0,1,0,52,98.461538,near_endemic,99.047619,near_endemic,Endemic
Fabaceae,Inga enterolobioides,0,0,0,2,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Inga exfoliata,0,0,0,14,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Inga flagelliformis,31,0,0,57,67.857143,widespread,64.772727,widespread,Not endemic
Fabaceae,Inga globularis,0,0,0,10,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Inga grazielae,0,0,0,15,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Inga heterophylla,268,2,0,13,4.098361,occasional,4.609929,occasional,Not in the AF
Fabaceae,Inga hispida,0,2,0,37,97.222222,near_endemic,97.368421,near_endemic,Endemic
Fabaceae,Inga ingoides,238,17,31,97,31.911532,widespread,31.337047,widespread,Not endemic
Fabaceae,Inga lanceifolia,0,0,0,26,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Inga laurina,415,37,24,368,50.284091,widespread,46.711739,widespread,Not endemic
Fabaceae,Inga lenticellata,0,1,1,25,98.076923,near_endemic,98.076923,near_endemic,Endemic
Fabaceae,Inga lentiscifolia,0,0,0,59,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Inga leptantha,0,0,0,54,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Inga marginata,542,31,24,796,56.497948,widespread,59.172464,widespread,Not endemic
Fabaceae,Inga maritima,0,0,0,82,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Inga mendoncaei,0,0,1,22,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Inga nobilis,474,0,0,6,1.583113,occasional,1.25,occasional,Not in the AF
Fabaceae,Inga pedunculata,0,0,0,1,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Inga pezizifera,131,0,0,1,1.136364,occasional,0.757576,occasional,Not in the AF
Fabaceae,Inga platyptera,0,0,0,11,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Inga pleiogyna,0,0,0,61,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Inga praegnans,0,0,0,10,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Inga rubiginosa,60,0,2,18,26.388889,widespread,24.050633,widespread,Not in the AF
Fabaceae,Inga schinifolia,0,0,0,11,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Inga sellowiana,0,0,0,54,100,pure_endemic,100,pure_endemic,Endemic
Fabaceae,Inga sertulifera,153,0,0,2,0.900901,occasional,1.290323,occasional,Not in the AF
Fabaceae,Inga sessilis,5,5,3,285,97.652582,near_endemic,97.44898,near_endemic,Not endemic
