family,scientific.name,life.form,status,taxa of low taxonomic complexity (TBC),commonly cultivated/ornamental,number of records,vouchers
Malvaceae,Helicteres eichleri K.Schum.,tree,new to AF,NA,NA,54,"Bezerra, P., 184 (EAC 245); Ciencias, A.B., 497 (IPA 19378); Harley, R.M., 20555 (CEPEC 25162, K 1214159); Krapovickas, A., 38015 (ESA 84190, IPA 26075, MBM 262102, NY 2342675); Krapovickas, A., 38076 (IPA 26128, K 1214153); Krapovickas, A., 39076 (K 1214154); Melo, E., 1382 (FLOR 45687, HUEFS 22063, SPF 155361); Pereira, L.A., 141 (JPB 48808, NY 2098337, RB 1419747); Sellow, F., s.n. (B 9613)"
Malvaceae,Helicteres guazumifolia Kunth,shrub,new to AF,NA,NA,488,"Bonpland, A.J.A., s.n. (P 679780); Cordeiro, I., 1179 (NY 627232); Haenke, T., s.n. (MO 1577357); Schomburgk R.H., 198 (BR 5431038); Schomburgk, R.H., s.n. (G 242069/1); Schomburgk, R.H., s.n. (G 242069/2); Smith, H.H., s.n. (G 242071/1); Tonduz, A., 6564 (US 1382215)"
Malvaceae,Helicteres heptandra L.B.Sm.,shrub,confirmed,NA,NA,76,"Belem, R.P., 3820 (CEPEC 4623); Coradin, L., 5762 (CEN 8909, K 1214150); Daly, D.C., 554 (HRB 17549, MO 3061242, US 3076096); Dantas, A., 122 (IPA 51106, UFRN 24354); Drouet, F.E., 2542 (R 30748); Froes, R.L., 11847 (NY 222260); Froes, R.L., 11847 (US 1830828); Glaziou, A.F.M., 9640 (R 7689); Krapovickas, A., 38753 (CEN 7505, HRB 45359, HUEFS 58136, K 1214453); Liesner, R.L., 11120 (MO 1313317); Montes, M.L., 6390 (SPF 153573); Oliveira, M., 832 (HST 17244, HUCPE 1566, HUEFS 78470, HVASF 2032, IPA 65853, MAC 21527, UEC 147828, UFP 36987); Pereira, R., 3085 (IPA 70027); Plowman, T.C., 7733 (MO 100696865); Rosa, N.A., 2573 (MG 061284, NY 946989, RB 433287); Salles, A.E.H., 1585 (HEPH 6954); Thomas, W.W., 4361 (INPA 150831, MO 3061435, NY 946992, SPF 46643, US 3121459)"
Malvaceae,Helicteres lhotzkyana (Schott & Endl.) K.Schum.,tree,new to AF,NA,NA,158,"Bang, M., 2648 (MO 3251845); Bang, M., 2648 (NY 222257, NY 222258, NY 222259); Bang, M., s.n. (LD 1503337); Kuntze, C.E.O., s.n. (NY 803655); Moore, S., 556 (BM 630042); Rodrigues, R.R., 66 (SPF 98451, UEC 150681); Rusby, H.H., 616 (F 73532F, NY 222264, NY 222265, US 13028, US 1382170); Silva Manso, A.L., 7 (G 358830); Silva Manso, A.L., s.n. (G 246761/1)"
Malvaceae,Helicteres macropetala A.St.-Hil.,tree,confirmed,NA,NA,73,"Belem, R.P., 3820 (NY 627136, US 2591077A); Brooks, R.R., 19 (E 315959, MO 3469766); Catal, 1593 (MO 3060814); Gardner, G., 2403 (K 1214388); Irwin, H.S., 6748 (NY 947012); Irwin, H.S., 6891 (NY 627143); Krapovickas, A., 43688 (MBM 140391); Krapovickas, A.C., 43688 (MO 2404063, NY 627144); Macedo, A., 31 (NY 947003); Melo, E., 2911 (HUEFS 39740, UB 157381, UEC 131974); Mori, S.A., 11808 (CEPEC 16107, K 1214390, NY 627138); Paula, J.E., 1295 (NY 627142); Rodal, M.J.N., 338 (NY 566029, US 3424004); Saint-Hilaire, A., B1-1523 (P 2286074, P 2286075, P 2286076); Saint-Hilaire, A., s.n. (UM 16312)"
Malvaceae,Helicteres ovata Lam.,shrub,confirmed,NA,NA,93,"Duarte, A.P., 5278 (HB 14143, NY 627218, US 2839819); Esteves, G.L., 2163 (K 1214288); Fernandes, H.Q.B., 1586 (CEPEC 41263); Ferrari, J., 3032 (US 3356856); Ganev, W., 2651 (HUEFS 16249, K 1214278, K 1214279, SPF 113836); Hatschbach, G., 57955 (CEPEC 60415, HUCS 9388, MBM 155213, MO 3189835, NY 627209, SPSF 16712, UPCB 22816); Krapovickas, A., 42837 (HRB 59652); Mattos-Silva, L.A., 2255 (CEPEC 42814, HRB 29906, HUEFS 9465, K 1214284, MBM 138404); Pereira, E., 4154 (HB 7078, RB 433202); s.c., s.n. (P 287644); Saunders, J., 3200 (K 1214286); Sellow, F., 337 (US 3490589); Silva, S.M., 25356 (UEC 150686, UEC 68701); Vieira, M.C.W., 635 (RB 548940, RB 823240)"
Malvaceae,Helicteres pentandra L.,tree,new to AF,NA,NA,79,"Anonymous, s.n. (G 219556/1); Berg, C.C., s.n. (NY 947041); Bordenave, B., s.n. (P 224571); Egler, W.A., s.n. (MG 93109); Hostmann, s.n. (P 6594373); Hostmann, s.n. (P 6594377); Martius, C.F.P(no. Obs. ), s.n. (MSB 211313/ 619478 / 277193); Martius, C.F.P(no. Obs. ), s.n. (MSB 211321/ 619486 / 277201); Martius, C.F.P., s.n. (MSB 211314/ 619479 / 277194); Martius, C.F.P., s.n. (MSB 211315/ 619480 / 277195); Martius, C.F.P., s.n. (MSB 211316/ 619481 / 277196); Martius, C.F.P., s.n. (MSB 211317/ 619482 / 277197); Martius, C.F.P., s.n. (MSB 211318/ 619483 / 277198); Martius, C.F.P., s.n. (MSB 211319/ 619484 / 277199); Martius, C.F.P., s.n. (MSB 211320/ 619485 / 277200); Martius, C.F.P., s.n. (MSB 211322/ 619487 / 277202); Neto, J.V., s.n. (MG 82530); Nunes, E., s.n. (EAC 6339); Pignal, M., s.n. (P 173037); Pires, J.M., s.n. (MG 29336); Pires, J.M., s.n. (MG 93116); Prance, G.T., s.n. (MG 39761); Prance, G.T., s.n. (MG 40393); Richard, L.C., s.n. (P 1900217); Sasaki, D., 1230 (INPA 220078); Anonymous, s.n. (P 6594412); Anonymous, s.n. (RB 433253); Silva, M.G., s.n. (MG 31651); Silva, M.G., s.n. (MG 63944); Solomon, J.C., 7653 (MBM 95566)"
Malvaceae,Helicteres velutina K.Schum.,shrub,confirmed,NA,NA,160,"Andrade, S.M.M., 1903 (K 1214250, K 1214251); Figueiredo, L.S., 74 (NY 566026, US 3403951); Hatschbach, G.G., 56639 (MO 3060873); Irwin, H.S., 31007 (MO 100985116, NY 1405343, RB 1361763, UB 157410, US 3392325); Paula-Souza, J., 4736 (ESA 90340); Riedel, L., 900 (B 9619); Riedel, L., s.n. (P 2286084); Riedel, L., s.n. (P 2286085); Semir, J., 10912 (NY 947121, UEC 22215); Silveira, A., 723 (EAC 45581); Siqueira Filho, J.A., 2497 (HVASF 11006); Anonymous, 785 (US 3356864)"
Malvaceae,Helicteres vuarame Mart.,tree,new to AF,NA,NA,16,"Andrade-Lima, 71-6298 (IPA 24427); Carvalho, A.M., 1695 (CEPEC 31622); Costa, A.L., s.n. (ALCB 02662); Harley, R.M., 16475 (CEPEC 11174, HUEFS 36520); Krapovickas, A., 38006 (ALCB 55759, CEN 40813, IPA 26068, K 1214234, MO 3236226); Krapovickas, A., 38074 (IPA 26126, MBM 262127); Krapovickas, A., s.n. (MBM 262128); Martius, C.F.P(no. Obs. ), s.n. (MSB 211306/ 619471 / 277186); Martius, C.F.P(no. Obs. ), s.n. (MSB 211308/ 619473 / 277188); Mori, S.A., 11840 (CEPEC 16311, K 1214235, NY 627560); Mori, S.A., s.n. (RB 433320); Queiroz, L.P, 7805 (HUEFS 71530); Queiroz, L.P., 4587 (CEPEC 80100, HUEFS 24684, SPF 138853, UB 157414, UESC 2061); Queiroz, L.P., 9018 (HST 14031, HUEFS 78295); Saar, E., 9 (HUEFS 65267); Anonymous, s.n. (UEC 58720)"
Malvaceae,Heliocarpus popayanensis Kunth,tree,confirmed,NA,NA,29,"Allen, P.H., 1398 (MO 2130002); Atsut, E.A., 496 (MO 909449); Bang, M., 2305 (MO 1890132); Barbour, P.J., 5821 (MO 774052); Bertoni, B.S., 1600 (MO 3032109); Blum, K.E., 2090 (MO 2133152); Croat, T.B., 18011 (MO 181202); Croat, T.B., 33156 (MO 2128735); Davidse, G., 5090 (MO 1871586); Dillon, M.O., 1140 (MO 3028761); Dombey, J., s.n. (MO 100167074); Dwyer, J.D., 19 (MO 2134122); Dwyer, J.D., 6598 (MO 2136194); Ferreira, C.A.C., 121169 (MO 3219810); Gentry, A.H., 6647 (MO 1757007); Hammel, B.E., 5842 (MO 2134949); Kennedy, H., 722 (MO 3029344); Klitgaard, B.B., 256 (US 3520750); Knapp, S., 3886 (MO 2241917); Mowbray, R.N., 70283 (MO 1107992); Mowbray, R.N., 70292 (MO 1107993); Ribas, O.S., 6887 (ALCB 71188); Ribas, O.S., 7332 (JOI 3688); Rojas, T., 14306 (MO 3029035); Shattuck, O.E., 662 (MO 2134371); Shattuck, O.E., 754 (MO 2134121); Smith, D.N., 1659 (MO 182018); Urben Filho, A., 50 (UPCB 63042); Woodworth, R.H., 730 (MO 2135196)"
Malvaceae,Hydrogaster trinervis Kuhlm.,tree,confirmed,TBC,NA,97,"Giaretta, A.O., 467 (SAMES 3158, VIES 24537); Kuhlmann, J.G., 24488 (G 357102, S 7833, US 1740677); Kuhlmann, J.G., 35756 (G 357101, S 11151, US 1740750); Kuhlmann, J.G., 56 (INPA 246840, K 543674, SP 468496, UFMT 11157); Kuhlmann, J.G., s.n. (G 253488/1); Kuhlmann, J.G., s.n. (G 253489/1); Lima, H.C, 8695 (HUEFS 246704, RB 1395186); Lima, H.C, 8874 (HUEFS 237443, RB 1414893); Mori, S.A., 11653 (CEPEC 16341, K 1209916, NY 628589); Paixao, J.L., 554 (HUEFS 109023, NY 884904)"
Malvaceae,Luehea candicans Mart. & Zucc.,tree,confirmed,NA,NA,306,"Goes, O.C., 1114 (RB 437059); Luz, A., 499 (US 3690434); Martius, C.F.P., s.n. (M -210187); Martius, C.F.P., s.n. (MSB 210186/ 593995 / 264187); Martius, C.F.P., s.n. (MSB 210187/ 593996 / 264188); Saint-Hilaire, A., s.n. (UM 17178)"
Malvaceae,Luehea conwentzii K.Schum.,tree,confirmed,NA,NA,24,"Constantino, I., 15282 (US 1473386); da Silva, M.J., s.n. (SI 172175); Ducke, A., 15878 (K 1209747, US 1473385); Glaziou, A., s.n. (P 6663915); Hatschbach, G., 59782 (FLOR 24035); Kummrow, R., 2959 (HRB 25935, PACA 69328, SPSF 12178, US 3317043); Lindeman, J.C., 15619 (K 1209745, K 1209746, MO 3221745); Pereira, F.B., 45627 (RFA 24845); Riedel L., s.n. (BR 5491391); Riedel, L. (no. ), s.n. (MSB 210184/ 593993 / 264185); Riedel, L. (no. ), s.n. (MSB 210185/ 593994 / 264186); Riedel, L., 107 (E 894822, G 357099, S 11135, S 13-2361); Riedel, L., 107 (NY 415477); Riedel, L., s.n. (G 253481/1); Riedel, L., s.n. (M -210184); Riedel, L., s.n. (M -210185); Riedel, s.n. (P 2142945); Riedel, s.n. (P 2142946); Riedel, s.n. (P 2142947); Silva, I.M., 640 (RB 590634); Silva, J.M., 283 (FLOR 19812, FUEL 6938, IPA 62395, PACA 69368, SPSF 12494, UPCB 16562); Silva, J.M., s.n. (SI 461109); Sucre, D., 7541 (RB 436742); Sucre, D., 9914 (HUEFS 204436, JPB 56382, MBM 392692, MBML 47181, MG 212713, NY 2861696, RB 436734)"
Malvaceae,Luehea cymulosa Spruce ex Benth.,tree,new to AF,NA,NA,119,"Albuquerque, B.W.P., 421 (INPA 29317); Amorim, A.M., 3768 (CEPEC 95655); Davidse, G., 24419 (MBM 89597); Jardim, J.G., 3838 (CEPEC 90868); Jardim, J.G., 3861 (CEPEC 90616); Jardim, J.G., 3882 (CEPEC 90740); Leal, R.H., A07BJ18 (INPA 228499); Little, E.L.Junior, s.n. (COL 55138); Loureiro, A., s.n. (MO 3020588); Lucas, C., 51 (HSTM 1481); M. Rimachi Y., 9116 (US 3346653); Mori, S.A., 20382A (INPA 170367); Nascimento, C.M.N., 51 (INPA 234344); Revilla, J., 12612 (INPA 276806); Revilla, J., s.n. (US 3614775); Rudas A., 2569 (UIS 11042); Spruce, R. (no. ), s.n. (MSB 210183/ 593992 / 264184); Spruce, R., 1594 (B 9240); Spruce, R., 1594 (E 265865); Spruce, R., 1594 (G 357096, G 357097, G 357098, MG 019585); Spruce, R., 1594 (NY 415478); Spruce, R., s.n. (G 253471/1); Spruce, R., s.n. (G 253471/2); Spruce, R., s.n. (G 253471/3); Spruce, R., s.n. (M -210183); Spruce, R., s.n. (MG 19585); Spruce, R., s.n. (P 2142943); Spruce, R., s.n. (P 2142944); Tessmann, G., 3664 (B 9247); Tessmann, G., s.n. (G 253440/1)"
Malvaceae,Luehea divaricata Mart. & Zucc.,tree,confirmed,NA,NA,592,"Brunner, D.R., 1810 (MO 181636); Chagas, 01489 (UEC 65443, UEC 69266); Luz, A., 200 (US 3695705); Machado, D.N.S., 427 (RB 913892); Martius, C.F.P., s.n. (M -210165); Martius, C.F.P., s.n. (M -210175); Martius, C.F.P., s.n. (M -210176); Martius, C.F.P., s.n. (MSB 210165/ 593974 / 264166); Martius, C.F.P., s.n. (MSB 210175/ 593984 / 264176); Martius, C.F.P., s.n. (MSB 210176/ 593985 / 264177); Mori, S.A., 11533 (K 1209793, NY 628595, RB 436785); Schwarz, G.J., 4307 (IAC 10850, MO 3020607); Anonymous, s.n. (B 9241); Anonymous, 111 (BR 5491513); Anonymous, s.n. (BR 5491544)"
Malvaceae,Luehea fiebrigii Burret,tree,not in the BF.2020,NA,NA,15,"Fiebrig, K., 2684 (B 9243); Fiebrig, K., 2684 (MO 1591546); Keller, H.A., 553 (IAC 41971); Neffa, V.S., 3322 (MA 1-00735674); Ortiz, M., 001263 (MO 3019891); Schinini, A., 33066 (MO 2343301); Schinini, A., s.n. (SI 203426); Schinini, A., s.n. (SI 203427); Schinini, A., s.n. (SI 80829); Solomon, J.C., 10570 (MO 182126); Solomon, J.C., 9865 (UPCB 44846); Zardini, E.M., 12018 (MO 182091); Zardini, E.M., 13648 (MO 183354); Zardini, E.M., 14463 (MO 182316); Zardini, E.M., 4081 (MO 1205859)"
Malvaceae,Luehea grandiflora Mart. & Zucc.,tree,confirmed,NA,NA,301,"Andrade, P.M., s.n. (MBM 210157); Gandolfi, S., s.n. (ESA 33390); Gandolfi, S., s.n. (ESA 6548); Ganev, W., s.n. (HUEFS 13706); Hoehne, W., s.n. (SPF 10186); Koscinski, M., s.n. (IAC 7703); Krapovickas, A., 1401 (MBM 39143); Leitao Filho, H.F., s.n. (IAC 19175); Martins, R.P., s.n. (SPF 122494); Martius, C.F.P(no. Obs. ), s.n. (MSB 210173/ 593982 / 264174); Martius, C.F.P., s.n. (M -210171); Martius, C.F.P., s.n. (M -210172); Martius, C.F.P., s.n. (M -210173); Martius, C.F.P., s.n. (M -210174); Martius, C.F.P., s.n. (MSB 210174/ 593983 / 264175); P. Capell S.J., s.n. (FCAB 2578); Pacheco, C., s.n. (IAC 18054); Rombouts, J.E., s.n. (IAC 2696); Rossi, L., s.n. (SPF 34889); Saint-Hilaire, A., s.n. (P 2142936); Saint-Hilaire, A., s.n. (P 2142937); Saint-Hilaire, A., s.n. (UM 17175); Sanches, F.R., s.n. (ESA 7106); Savina, s.n. (IAC 26790); Anonymous, s.n. (M -210170); Anonymous, s.n. (MSB 210170/ 593979 / 264171); Viegas, A.P., s.n. (IAC 2493); Viegas, A.P., s.n. (IAC 7485); Zanette, V.C., s.n. (CRI 4800); Zardini, E.M., 48639 (MBM 262020)"
Malvaceae,Luehea ochrophylla Mart.,tree,confirmed,NA,NA,54,"Arbo, M.M., s.n. (CTES 85154); Arbo, M.M., s.n. (SI 85154); Bocage, A., 295 (IPA 56491); Cano, O., IPA-56922 (IPA 56922); Fernandes, A., s.n. (EAC 6688); Lira, O.C., 159 (IPA 15241); Luschnath B., 161 (BR 13535155); Luschnath B., s.n. (BR 13535162); Martius, C., 523 (MO 1890131); Martius, C.F.P(no. Herb. Fl. Bras. ), s.n. (MSB 210167/ 593976 / 264168); Martius, C.F.P(no. Herb. Fl. Bras. ), s.n. (MSB 210168/ 593977 / 264169); Martius, C.F.P(no. Herb. Fl. Bras. ), s.n. (MSB 210169/ 593978 / 264170); Martius, C.F.P., 523 (F 73974); Martius, C.F.P., 523 (NY 415479); Martius, C.F.P., s.n. (M -210167); Martius, C.F.P., s.n. (M -210168); Martius, C.F.P., s.n. (M -210169); Martius, s.n. (P 2142935); Mori, S.A., s.n. (RB 436812); Oliveira, M., 4151 (HVASF 4700); Oliveira, M., 4557 (HVASF 6638); Pereira, R., 776 (IPA 52709); Pickel, B., 3490 (IPA 4305); Santana, E.S., 54 (IPA 42422); Anonymous, s.n. (B 9245); Silva, A., IPA-58804 (IPA 58804); Tenorio, E., 273 (IPA 14726); Trindade, A., 39 (IPA 52429); Anonymous, s.n. (BR 5491438); Anonymous, s.n. (BR 5491469)"
Malvaceae,Luehea paniculata Mart. & Zucc.,tree,confirmed,NA,NA,156,"Claussen, P., s.n. (P 2142933); Claussen, P., s.n. (P 2142934); Claussen, s.n. (P 5274358); Ducke, A., s.n. (MG 000762); Ducke, A., s.n. (MG 762); Gardner, s.n. (P 6629880); Gardner, s.n. (P 6629881); Gardner, s.n. (P 6629882); Goncalves, R.M., s.n. (FUEL 1893); Guedes, M.P.L., 576 (G 357094, RB 436823); Guedes, M.P.L., s.n. (G 253464/1); Hassler, E., 11059 (BM 546029); Lemos, R.P., s.n. (FUEL 1246); Martius, C., 19678 (MO 1890135); Martius, C., 263 (MO 1890136); Martius, C.F.P., 269 (NY 415480); Martius, C.F.P., s.n. (M -210162); Martius, C.F.P., s.n. (MSB 210162/ 593971 / 264163); Martius, s.n. (P 2142931); Martius, s.n. (P 2142932); Nee, M.H., 35792 (MO 1528099); Rodriguez, F.M., s.n. (F 203431); Rodriguez, F.M., s.n. (SI 203431); Rossi, L., s.n. (SPF 61246); Anonymous, s.n. (M -210163); Anonymous, s.n. (M -210164); Anonymous, s.n. (MSB 210163/ 593972 / 264164); Anonymous, s.n. (MSB 210164/ 593973 / 264165); Solomon, J.C., 14309 (MBM 114376); Solomon, J.C., 14554 (MBM 114374)"
Malvaceae,Ochroma pyramidale (Cav. ex Lam.) Urb.,tree,new to AF,TBC,cultivated,982,"Bang, M., 1501 (MO 3053562, NY 133592, NY 133593, NY 133594, US 1416780); Cook, O.F., 82 (US 862345); Pifano, D.S., 402 (CESJ 37921, RB 59388, RB 91480); Rose, J.N., 22604 (F 52156F, NY 133595, NY 133596, US 1022250, US 1022251, US 1022252); Rowlee, W.W., 1 (NY 133591, US 1012418, US 1012424); Rowlee, W.W., 10 (NY 133590, US 1012426); Smith, H.H., 829 (E 285250)"
Malvaceae,Pachira calophylla (K.Schum.) Fern. Alonso,tree,confirmed,NA,NA,17,"Anunciacao, E.A., 116 (MBML 7291); Catharino, E.L.M., 593 (ESA 4595); Cordeiro, I., 1482 (SP 252434); Ferreira, C.D.M., 289 (RB 655304); Ferreira, C.D.M., 413 (RB 675493); Ferreira, C.D.M., 414 (RB 675494); Ferreira, C.D.M., 444 (RB 727716); Glaziou A., 2935 (BR 6956905); Glaziou, A., s.n. (P 6622979); Godoy, J., 8 (SPSF 23796); Kameyama, C., 4 (UEC 79567); Kirizawa, M., 1944 (E 646673); Thomaz, L.D., 1315 (MBML 7290); Thomaz, L.D., 761 (SP 218928); Thomaz, L.D., 783 (MBML 7284); Ule, E.H.G., 4631 (B 9545); Vervloet, R.R., 2330 (MBML 20472)"
Malvaceae,Pachira endecaphylla (Vell.) Carv.-Sobr.,tree,confirmed,NA,NA,31,"Andrade-Lima, 4937 (IPA 16126); Demuner, V., 4907 (HUEFS 166715, MBML 32889); Ducke, A., 2443 (IPA 8463, MG 024502, RB 534498, US 2617686); Ducke, A., s.n. (MG 24502); Ettori Junior, O., 1403 (SPSF 21117, UEC 88165); Farney, C., 3189 (RB 60594); Heringer, E.P., 2843 (RB 79073); Jardim, J.G., 6093 (JPB 59490, UFRN 13169); Lopes, C.G., 687 (PEUFR 49749)"
Malvaceae,Pachira moreirae Carv.-Sobr. & W. S. Alverson,tree,new to AF,NA,NA,4,"Cardoso, D., 3256 (HUEFS 196056); Carvalho-Sobrinho, J.G, 3091 (HUEFS 173066); Carvalho-Sobrinho, J.G, 3176 (HUEFS 175718); Carvalho-Sobrinho, J.G, 3180 (HUEFS 175722)"
Malvaceae,Pavonia alnifolia A.St.-Hil.,tree,confirmed,NA,NA,53,"Farney, C., 4412 (K 1217770, RB 393698, SPF 198768); Sazima, M., 24527 (UEC 63811, UEC 85088); Thomas, W.W., 13743 (MO 100413861, NY 1181832); Thomas, W.W., 14274 (RB 541978)"
Malvaceae,Pavonia calyculosa A.St.-Hil. & Naudin,tree,confirmed,NA,NA,34,"Blanchet, 2117 (K 535337); Blanchet, J.S., 2117 (F 63001); Blanchet, J.S., 2117 (G 353392, G 353393); Blanchet, J.S., 2117 (MO 100735131); Blanchet, J.S., 2117 (NY 7242); Blanchet, J.S., s.n. (G 250034/1); Blanchet, J.S., s.n. (G 250034/2); Blanchet, s.n. (P 2285701); Blanchet, s.n. (P 2285702); Farias, G.L., 371 (CVRD 2822); Froes, R.L., 20054 (NY 407004, US 2439232); Peixoto, A.L., 1798 (RB 374676, VIES 23446)"
Malvaceae,Pavonia cauliflora (Nees) Fryxell ex G.L.Esteves,tree,confirmed,NA,NA,9,"Luschnath B., s.n. (BR 13453947); Martii Herbar. Florae Brasil., 649 (NY 221706); Martius, C., 649 (MO 3077773); Martius, C.F., s.n. (P 2285838); Thomas, W.W., 10603 (CEPEC 63278, NY 407037, NY 538469); Thomas, W.W., 10744 (CEPEC 64769, MBM 176793, MO 3050656, NY 12165, NY 538464, UESC 1133); Anonymous, s.n. (BR 13453930); Wied M., s.n. (BR 6586843); Wied M., s.n. (BR 6587178)"
Malvaceae,Pavonia ciliata G.L.Esteves & Krapov.,tree,confirmed,NA,NA,2,"Mori, S.A., 9279 (CEPEC 13203); Pinheiro, R.S., 1324 (CEPEC 7274)"
Malvaceae,Pavonia crassipedicellata Krapov.,tree,confirmed,NA,NA,7,"Demuner, V., 4514 (ESA 105305); Esteves, G.L., 2397 (SPF 76004); Folli, D.A., 1656 (CVRD 3978); Lucas, E., 820 (CVRD 10124); Paula-Souza, J., 5689 (K 1217777); Silva, I.A., 374 (CVRD 10933); Sucre, D., 8674 (RB 157121)"
Malvaceae,Pavonia crispa Krapov.,tree,confirmed,NA,NA,1,"Santos, T.S., 2080 (CEPEC 7606)"
Malvaceae,Pavonia ducke-limae Monteiro,tree,confirmed,NA,NA,7,"Andrade-Lima, 50-621 (IPA 1837); Ducke, A., 7 (IPA 2213); Giulietti, A.M., 621 (IPA 1836); Krapovickas, A., 12872 (MBM 38907); Krapovickas, A., 12872 (NY 407062); Leal, C.G., s.n. (RB 71022); Monteiro, H., 3990 (RBR 1094)"
Malvaceae,Pavonia glazioviana Gurke,shrub,new to AF,NA,NA,126,"Andrade-Lima, 49-253 (IPA 1254); Andrade-Lima, 50-440 (IPA 1593); Blanchet, J.S., 2843 (BM 583544, BM 583547); Blanchet, J.S., 2843 (G 353386); Blanchet, J.S., 2843 (MG 902799); Blanchet, J.S., 2843 (NY 7237); Blanchet, J.S., s.n. (G 250053/1); Blanchet, s.n. (P 2285723); Ciencias, A.B., 1196 (IPA 21533, SPF 76613); Esteves, G.L., 2544 (MAC 7776, SPF 78642); Falcao, J.I.A., 1078 (RB 89341, RBR 1866); Figueiredo, M.A., 85 (EAC 17502, MOSS 2945, TEPB 6365); Lima, D.A., 49-253 (RBR 37681); Vieira, R.F., 868 (CEN 15668, HEPH 9024)"
Malvaceae,Pavonia goetheoides (Hassl.) Fryxell ex G. L. Esteves,tree,confirmed,NA,NA,8,"Blanchet, J.S., s.n. (G 250052/1); Blanchet, J.S., s.n. (G 250052/2); Blanchet, J.S., s.n. (G 353387); Blanchet, J.S., s.n. (G 353388); Jardim, J.G., 6788 (CEPEC 150023); Perdiz, R., 644 (RB 558193); Santos, T.S., 3105 (CEPEC 12630); Sobral, M., 5793 (IPA 25488)"
Malvaceae,Pavonia luetzelburgii Ulbr.,shrub,new to AF,NA,NA,105,"Harley, R.M., 16526 (CEPEC 10936, K 1217557); Luetzelburg, P(no. ), s.n. (MSB 211346/ 625116 / 282624); Pedralli, G., 2615 (BHCB 13551, CEN 11532); Pinto, G.C.P., 1573 (RB 208711, RB 217180)"
Malvaceae,Pavonia makoyana E.Morren,tree,confirmed,NA,NA,54,"Gurken, L.C., 1 (RB 204576); Martinelli, G., 10946 (K 1217781, NY 407250); Thomaz, L.D., 27 (SPF 122670, VIES 3088)"
Malvaceae,Pavonia malacophylla (Link & Otto) Garcke,shrub,confirmed,NA,NA,429,"Amelia, s.n. (ALCB 023411); Barboza, A., s.n. (EAC 15668); Bezerra, P., s.n. (EAC 12032); Cerqueira, A., s.n. (ALCB 023431); Costa, A.L., 954 (ALCB 02522); Costa, A.L., s.n. (ALCB 02523); Costa, A.L., s.n. (ALCB 02524); Fernandes, A., s.n. (EAC 2637); Fernandes, A., s.n. (EAC 3931); Fernandes, A., s.n. (EAC 6757); Figueiredo, M.A., s.n. (EAC 15199); Funck, s.n. (P 2285813); Guedes, M.L., s.n. (ALCB 155119); Krieger, L., s.n. (CESJ 16021); Krieger, L., s.n. (CESJ 19587); Martius, C.F., s.n. (P 2285812); Mata, M.F., s.n. (EAC 15586); Nunes, E., s.n. (EAC 16578); Saint-Hilaire, A., B2-2815 (P 2285814, P 2285815, P 2285816); Saint-Hilaire, A., s.n. (UM 16813); Santos, O.M., s.n. (ALCB 21295); Silva, L., 0 (CEPEC 65640); Silva, L.B., s.n. (ALCB 20457); Wright, C. (no. = ), s.n. (GOET 7729/ 758745 / 402153); Wright, C. (no. = ), s.n. (GOET 7730/ 758746 / 402154); Wright, C., 2062 (BM 583368); Wright, C., 2062 (MO 1893800, YU 1649); Wright, C., s.n. (P 2285754); Wright, s.n. (GOET 6416); Wright, s.n. (GOET 6417)"
Malvaceae,Pavonia malvaviscoides A.St.-Hil.,shrub,new to AF,NA,NA,50,"Esteves, G.L., 6082 (K 1217933); Harley, R.M., 26451 (SPF 62337); Jardim, J.G., 3233 (NY 687406); Saint-Hilaire, A., B1-930-2 (P 2285752)"
Malvaceae,Pavonia morii Krapov.,tree,confirmed,NA,NA,14,"Amorim, 3559 (MO 3407586, NY 823072); Amorim, A.M., 3236 (NY 632060); Borges, R.A.X., 600 (RB 452860); Carvalho, A.M., 6223 (CEPEC 69579, NY 407288); Fiaschi, P., 1492 (MO 3407999, NY 822749, SPF 158688); Lopes, M.M.M., 716 (NY 1197995); Mattos Silva, L.A., 3747 (ALCB 35150, CEPEC 78149, UESC 2008); Mori, S.A., 9339 (CEPEC 13093); Mori, S.A., 9340 (CEPEC 13094, NY 407287); Oliveira, N.E., 489 (CEPEC 150321); Sant'ana, Anonymous, 532 (CEPEC 61846); Santos, T.S., 4083 (CEPEC 39413, HRB 27548, MBM 123073, RB 277830, RB 738166, SP 224030, US 3070908); Thomas, W.W., 11194 (CEPEC 73216, MO 3047595, NY 227679, NY 227728); Thomas, W.W., 11488 (CEPEC 76716)"
