"taxon_id","language","name"
"sp214","Portuguese","Fructa Da Komdessa"
"sp214","Portuguese","Fruta De Conde"
"sp214","Portuguese","Fruta De Condessa"
"sp214","Portuguese","Graviola Brava"
"sp216","Portuguese","Araticum"
"sp216","Portuguese","Araticu Pecanine"
"sp216","Portuguese","Cortiça"
"sp216","Portuguese","Cortiça-Ourica"
"sp216","Portuguese","Curtiça"
"sp216","Portuguese","Curtição"
"sp216","Portuguese","Pinha Da Mata"
"sp218","Portuguese","Vaovír"
"sp219","Portuguese","Araticum"
"sp221","Portuguese","Embira Preta"
"sp222","Portuguese","Araticum"
"sp222","Portuguese","Pinaíba"
"sp223","Portuguese","Affenbeeren"
"sp223","Portuguese","Alchexú"
"sp223","Portuguese","Araticú"
"sp223","Portuguese","Araticú Do Mata"
"sp223","Portuguese","Araticum"
"sp223","Portuguese","Araticum Grande"
"sp223","Portuguese","Bananinha"
"sp223","Portuguese","Biribá"
"sp223","Portuguese","Cortiça"
"sp223","Portuguese","Cortiça De Comer"
"sp223","Portuguese","Embira Vermelha"
"sp223","Portuguese","Pinha"
"sp224","Portuguese","Araticum"
"sp224","Portuguese","Araticunzinho"
"sp224","Portuguese","Atinha"
"sp226","Portuguese","Pinha Da Caatinga"
"sp228","Portuguese","Araticum Cagão"
"sp232","Portuguese","Ariquena Queimosa"
"sp232","Portuguese","Marmelo"
"sp232","Portuguese","Marmeleiro"
"sp232","Portuguese","Morocototó"
"sp232","Portuguese","Tapiá-Branco"
"sp232","Portuguese","Tapiá-Guaçu"
"sp232","Portuguese","Ara-Ky Y"
"sp232","Portuguese","Lava-Prato-Branco"
"sp232","Portuguese","Velame"
"sp232","Portuguese","Marmeleira"
"sp232","Portuguese","Pau-De-Facho"
"sp233","Portuguese","Pau-De-Jangada"
"sp233","Portuguese","Pente-De-Macaco"
"sp233","Portuguese","Jangada"
"sp235","Portuguese","Jangada"
"sp235","Portuguese","Malva Pente De Macaco"
"sp235","Portuguese","Pente De Macaco"
"sp236","Portuguese","Canela-De-Jacomi"
"sp236","Portuguese","Erva-De-Gado"
"sp238","Portuguese","Castanha De Cutia"
"sp239","Portuguese","Cumaru Cetim"
"sp239","Portuguese","Mitaroá"
"sp239","Portuguese","Garapa"
"sp239","Portuguese","Amarelão"
"sp239","Portuguese","Grapia"
"sp242","Portuguese","Arapati"
"sp243","Portuguese","Araucária"
"sp243","Portuguese","Pinheiro-Do-Paraná"
"sp243","Portuguese","Curi"
"sp243","Portuguese","Pinheiro-Brasileiro"
"sp243","Portuguese","Pinho-Do-Paraná"
"sp247","Portuguese","Rabo-De-Raposa"
"sp248","Portuguese","Rabo-De-Raposa, Rabo-De-Onça"
"sp249","Portuguese","Sabugo-Do-Capeta"
"sp255","Portuguese","Guatambuzinho"
"sp257","Portuguese","Araracanga"
"sp257","Portuguese","Quina Da Mata"
"sp258","Portuguese","Quina"
"sp258","Portuguese","Cabo De Machado"
"sp258","Portuguese","Pau Pereiro"
"sp259","Portuguese","Catingueira"
"sp259","Portuguese","Peroba-Vermelha"
"sp262","Portuguese","Pereiro"
