"scientificName","UTEndUse.UTEndUseSubfield.UTEndUseName","UTEndUse.UTEndUseSubfield.UTEndUseLookup","UTEndUse.UTEndUseSubfield.international","UTEndUse.UTEndUseSubfield.national","UTEndUse.UTEndUseSubfield.other","UTEndUse.UTEndUseSubfield.subsistence","internal_taxon_id","source.info"
"Bixa orellana","Food - human","1","true","false","","true","sp410","TreeCo_database_v.4.1"
"Bixa orellana","Fuels","7","true","false","","false","sp410","TreeCo_database_v.4.1"
"Bixa orellana","Other chemicals","6","false","false","","false","sp410","TreeCo_database_v.4.1"
"Bixa orellana","Medicine - human & veterinary","3","false","false","","true","sp410","TreeCo_database_v.4.1"
"Bixa orellana","Other chemicals","6","true","false","","false","sp410","TreeCo_database_v.4.1"
"Bixa orellana","Food - human","1","false","false","","true","sp410","TreeCo_database_v.4.1"
"Bixa orellana","Medicine - human & veterinary","3","true","false","","true","sp410","TreeCo_database_v.4.1"
"Bixa orellana","Manufacturing chemicals","5","true","false","","false","sp410","TreeCo_database_v.4.1"
"Bixa orellana","Fibre","8","true","false","","false","sp410","TreeCo_database_v.4.1"
"Bixa orellana","Pets/display animals, horticulture","13","false","false","","false","sp410","TreeCo_database_v.4.1"
"Bougainvillea glabra","Pets/display animals, horticulture","13","false","false","","false","sp423","TreeCo_database_v.4.1"
"Bougainvillea spectabilis","Pets/display animals, horticulture","13","false","false","","false","sp425","TreeCo_database_v.4.1"
"Bowdichia virgilioides","Construction or structural materials","9","false","true","","false","sp426","TreeCo_database_v.4.1"
"Bowdichia virgilioides","Construction or structural materials","9","false","true","","false","sp426","TreeCo_database_v.4.1"
"Bowdichia virgilioides","Pets/display animals, horticulture","13","false","true","","false","sp426","TreeCo_database_v.4.1"
"Bowdichia virgilioides","Construction or structural materials","9","true","false","","false","sp426","TreeCo_database_v.4.1"
"Bowdichia virgilioides","Medicine - human & veterinary","3","false","false","","false","sp426","IUCN_Red_List_v.2022-2"
"Brasiliocroton mamoninha","Fuels","7","","","","","sp428","IUCN_Red_List_v.2022-2"
"Brasiliocroton mamoninha","Other household goods","11","","","","","sp428","IUCN_Red_List_v.2022-2"
"Brasiliopuntia brasiliensis","Pets/display animals, horticulture","13","","","","true","sp430","IUCN_Red_List_v.2022-2"
"Brasiliopuntia brasiliensis","Construction or structural materials","9","","","","true","sp430","IUCN_Red_List_v.2022-2"
"Brosimum alicastrum","Construction or structural materials","9","false","true","","true","sp437","TreeCo_database_v.4.1"
"Brosimum alicastrum","Food - animal","2","true","false","","true","sp437","TreeCo_database_v.4.1"
"Brosimum alicastrum","Construction or structural materials","9","true","false","","true","sp437","TreeCo_database_v.4.1"
"Brosimum alicastrum","Food - human","1","true","false","","true","sp437","TreeCo_database_v.4.1"
"Brosimum alicastrum","Construction or structural materials","9","true","false","","true","sp437","TreeCo_database_v.4.1"
"Brosimum alicastrum","Pets/display animals, horticulture","13","","","","true","sp437","IUCN_Red_List_v.2022-2"
"Brosimum alicastrum","Medicine - human & veterinary","3","","","","true","sp437","IUCN_Red_List_v.2022-2"
"Brosimum gaudichaudii","Construction or structural materials","9","false","true","","false","sp438","TreeCo_database_v.4.1"
