"internal_taxon_id","language","name","primary","source.info"
"sp155","Portuguese","Cerejeira","false","Brazilian_Flora_Online_v.393.285"
"sp155","Portuguese","Cumaru De Cheiro","false","Brazilian_Flora_Online_v.393.285"
"sp155","Spanish; Castilian","Umburana Do Cheiro","false","IUCN_Red_List_v.2022-2"
"sp156","Portuguese","Mentira","false","Brazilian_Flora_Online_v.393.285"
"sp156","Portuguese","Vareteiro-da-matavirgem","false","IUCN_Red_List_v.2022-2"
"sp158","Portuguese","Caju-Do-Cerrado","false","Brazilian_Flora_Online_v.393.285"
"sp158","Portuguese","Cajuzinho-Do-Cerrado","false","Brazilian_Flora_Online_v.393.285"
"sp158","Portuguese","Caju-Anão","false","Brazilian_Flora_Online_v.393.285"
"sp158","Portuguese","Caju-Do-Campo","false","Brazilian_Flora_Online_v.393.285"
"sp158","Portuguese","Cajuí","false","Brazilian_Flora_Online_v.393.285"
"sp158","Portuguese","Cajuhy","false","Brazilian_Flora_Online_v.393.285"
"sp158","Portuguese","Caju-Mirim","false","Brazilian_Flora_Online_v.393.285"
"sp158","Portuguese","Caju-Rasteiro","false","Brazilian_Flora_Online_v.393.285"
"sp158","Portuguese","Cajuzinho","false","Brazilian_Flora_Online_v.393.285"
"sp158","Portuguese","Cajuzinho-Do-Campo","false","Brazilian_Flora_Online_v.393.285"
"sp159","Portuguese","Acajaiba","false","Brazilian_Flora_Online_v.393.285"
"sp159","Portuguese","Caju","false","Brazilian_Flora_Online_v.393.285"
"sp159","Portuguese","Caju-Anão","false","Brazilian_Flora_Online_v.393.285"
"sp159","Portuguese","Cajueiro","false","Brazilian_Flora_Online_v.393.285"
"sp159","Spanish; Castilian","Anacardo","false","IUCN_Red_List_v.2022-2"
"sp159","Spanish; Castilian","Cajui","false","IUCN_Red_List_v.2022-2"
"sp159","Spanish; Castilian","Castaña de cajú","false","IUCN_Red_List_v.2022-2"
"sp159","Spanish; Castilian","Cayú","false","IUCN_Red_List_v.2022-2"
"sp159","Spanish; Castilian","Marañon","false","IUCN_Red_List_v.2022-2"
"sp159","Spanish; Castilian","Merey","false","IUCN_Red_List_v.2022-2"
"sp159","Spanish; Castilian","Nuez de la india","false","IUCN_Red_List_v.2022-2"
"sp159","English","Cashew","false","IUCN_Red_List_v.2022-2"
"sp160","English","Curupay","false","IUCN_Red_List_v.2022-2"
"sp160","Portuguese","Angico","false","IUCN_Red_List_v.2022-2"
"sp160","Portuguese","Angico-bravo","false","IUCN_Red_List_v.2022-2"
"sp160","Portuguese","Angico Do Campo","false","IUCN_Red_List_v.2022-2"
"sp160","Portuguese","Angico Preto","false","IUCN_Red_List_v.2022-2"
"sp160","Portuguese","Angico Rajado","false","IUCN_Red_List_v.2022-2"
"sp160","Portuguese","Angico-vermelho","false","IUCN_Red_List_v.2022-2"
"sp160","Spanish; Castilian","Cebil","false","IUCN_Red_List_v.2022-2"
"sp160","Spanish; Castilian","Cebil Colorado","false","IUCN_Red_List_v.2022-2"
"sp160","Spanish; Castilian","Curupaú","false","IUCN_Red_List_v.2022-2"
"sp162","Portuguese","Aratiaeum Brabo","false","Brazilian_Flora_Online_v.393.285"
"sp162","Portuguese","Paixinho","false","Brazilian_Flora_Online_v.393.285"
"sp163","Portuguese","Pindahyba","false","Brazilian_Flora_Online_v.393.285"
"sp167","Portuguese","Angelim-de-folha-grande","false","IUCN_Red_List_v.2022-2"
"sp167","Portuguese","Angelim-doce","false","IUCN_Red_List_v.2022-2"
"sp167","Portuguese","Angelim-do-mato","false","IUCN_Red_List_v.2022-2"
"sp167","Portuguese","Mata-baratas","false","IUCN_Red_List_v.2022-2"
"sp167","Portuguese","Pau-mamona Do Mato","false","IUCN_Red_List_v.2022-2"
"sp167","Portuguese","Pinhao-do-mato","false","IUCN_Red_List_v.2022-2"
"sp169","English","Angelin","false","IUCN_Red_List_v.2022-2"
"sp169","English","Cabbage Tree","false","IUCN_Red_List_v.2022-2"
"sp171","Portuguese","Angelim","false","IUCN_Red_List_v.2022-2"
"sp176","Portuguese","Perema, Tapacirica, Tapaciriba, Mulher Pobre, Cabelo De Negro","false","Brazilian_Flora_Online_v.393.285"
"sp176","Portuguese","Cabelo-de-negro","false","IUCN_Red_List_v.2022-2"
"sp176","Portuguese","Mulher-pobre","false","IUCN_Red_List_v.2022-2"
"sp176","Portuguese","Tapaciriba","false","IUCN_Red_List_v.2022-2"
"sp176","Portuguese","Tapacirica","false","IUCN_Red_List_v.2022-2"
"sp176","Portuguese","Perema","false","IUCN_Red_List_v.2022-2"
"sp178","Portuguese","Alecrim-Do-Campo","false","Brazilian_Flora_Online_v.393.285"
"sp178","Portuguese","Catuaba","false","Brazilian_Flora_Online_v.393.285"
"sp178","Portuguese","Catuaba-Verdadeira","false","Brazilian_Flora_Online_v.393.285"
"sp178","Portuguese","Catuabinha","false","Brazilian_Flora_Online_v.393.285"
"sp180","Portuguese","Gramirim-Café","false","Brazilian_Flora_Online_v.393.285"
"sp181","Portuguese","Canelão","false","Brazilian_Flora_Online_v.393.285"
"sp181","Portuguese","Louro - Inamuí","false","Brazilian_Flora_Online_v.393.285"
"sp183","Portuguese","Canela Sassafrás","false","IUCN_Red_List_v.2022-2"
"sp183","Portuguese","Louro-rosa","false","IUCN_Red_List_v.2022-2"
"sp183","Portuguese","Pau-rosa","false","IUCN_Red_List_v.2022-2"
"sp183","Portuguese","Canela-rosa","false","IUCN_Red_List_v.2022-2"
"sp185","Portuguese","louro-do-mato","false","IUCN_Red_List_v.2022-2"
"sp187","Portuguese","Canela De Mono","false","Brazilian_Flora_Online_v.393.285"
"sp189","Portuguese","Mangaba-brava","false","IUCN_Red_List_v.2022-2"
"sp189","Spanish; Castilian","Pajagua Naranja","false","IUCN_Red_List_v.2022-2"
"sp190","Portuguese","Guiné","false","Brazilian_Flora_Online_v.393.285"
"sp190","Portuguese","Guiné Caboclo","false","Brazilian_Flora_Online_v.393.285"
"sp190","Portuguese","Raiz De Guiné","false","Brazilian_Flora_Online_v.393.285"
"sp190","Portuguese","Pau De Guiné","false","Brazilian_Flora_Online_v.393.285"
"sp191","Portuguese","Pinha Do Mato","false","Brazilian_Flora_Online_v.393.285"
"sp193","Portuguese","Araticum","false","Brazilian_Flora_Online_v.393.285"
"sp193","Portuguese","Marolinho","false","Brazilian_Flora_Online_v.393.285"
"sp194","South American Indian (Other)","Acanga","false","Brazilian_Flora_Online_v.393.285"
"sp194","Portuguese","Araticum","false","Brazilian_Flora_Online_v.393.285"
"sp194","Portuguese","Araticum Do Mata","false","Brazilian_Flora_Online_v.393.285"
"sp194","South American Indian (Other)","Tapanahuacanga","false","Brazilian_Flora_Online_v.393.285"
"sp196","Portuguese","Ata Rasteira","false","Brazilian_Flora_Online_v.393.285"
"sp196","Portuguese","Marolo","false","Brazilian_Flora_Online_v.393.285"
"sp197","Portuguese","Araticum","false","Brazilian_Flora_Online_v.393.285"
"sp197","Portuguese","Ata","false","Brazilian_Flora_Online_v.393.285"
"sp197","Portuguese","Araticú","false","Brazilian_Flora_Online_v.393.285"
"sp197","Portuguese","Biribá Do Mato","false","Brazilian_Flora_Online_v.393.285"
"sp197","Portuguese","Pinha Do Mato","false","Brazilian_Flora_Online_v.393.285"
"sp200","Portuguese","Araticum-Do-Brejo","false","Brazilian_Flora_Online_v.393.285"
"sp200","Portuguese","Araticum-Cortiça","false","Brazilian_Flora_Online_v.393.285"
"sp200","Portuguese","Araticum-Da-Praia","false","Brazilian_Flora_Online_v.393.285"
"sp200","Portuguese","Araticum-De-Jangada","false","Brazilian_Flora_Online_v.393.285"
"sp200","Creoles and pidgins (Other)","Abriba Grand Pois","false","IUCN_Red_List_v.2022-2"
"sp200","Creoles and pidgins (Other)","Abriba Sauvage","false","IUCN_Red_List_v.2022-2"
"sp200","French","Coeur de Boeuf","false","IUCN_Red_List_v.2022-2"
"sp200","Creoles and pidgins (Other)","Guimanmin","false","IUCN_Red_List_v.2022-2"
"sp200","Undetermined","Pakatoeroepo","false","IUCN_Red_List_v.2022-2"
"sp200","Dutch; Flemish","Zuurzak","false","IUCN_Red_List_v.2022-2"
"sp200","Dutch; Flemish","Zwampzuurzak","false","IUCN_Red_List_v.2022-2"
"sp200","English","Monkey Apple","false","IUCN_Red_List_v.2022-2"
"sp202","Portuguese","Araticum","false","Brazilian_Flora_Online_v.393.285"
"sp202","Portuguese","Ata Brava","false","Brazilian_Flora_Online_v.393.285"
"sp202","Portuguese","Banana De Macaco","false","Brazilian_Flora_Online_v.393.285"
"sp202","Portuguese","Bananinha","false","Brazilian_Flora_Online_v.393.285"
"sp202","Portuguese","Bananinha De Macaco","false","Brazilian_Flora_Online_v.393.285"
"sp202","Portuguese","Bananinha De Quemquem","false","Brazilian_Flora_Online_v.393.285"
"sp202","Portuguese","Fruta De Macaco","false","Brazilian_Flora_Online_v.393.285"
"sp202","Portuguese","Pereiro","false","Brazilian_Flora_Online_v.393.285"
"sp203","South American Indian (Other)","Araxiku'y","false","Brazilian_Flora_Online_v.393.285"
"sp203","Portuguese","Jaca De Pobre","false","Brazilian_Flora_Online_v.393.285"
"sp203","Portuguese","Araticum","false","Brazilian_Flora_Online_v.393.285"
"sp203","Portuguese","Araticum-Cagão","false","Brazilian_Flora_Online_v.393.285"
"sp203","Dutch; Flemish","Boszuurzak","false","IUCN_Red_List_v.2022-2"
"sp203","South American Indian (Other)","Boucha Toukou","false","IUCN_Red_List_v.2022-2"
"sp203","South American Indian (Other)","Bushi Atuku","false","IUCN_Red_List_v.2022-2"
"sp203","Creoles and pidgins (Other)","Corossol Gran Bois","false","IUCN_Red_List_v.2022-2"
"sp203","South American Indian (Other)","Kajedi Oeniberabandikoro","false","IUCN_Red_List_v.2022-2"
"sp203","South American Indian (Other)","Kroesoeroe","false","IUCN_Red_List_v.2022-2"
"sp203","Arawak","Manig","false","IUCN_Red_List_v.2022-2"
"sp203","South American Indian (Other)","Oeroesoeroe","false","IUCN_Red_List_v.2022-2"
"sp203","Tupi languages","Pina Itay","false","IUCN_Red_List_v.2022-2"
"sp203","South American Indian (Other)","Roesoeloe","false","IUCN_Red_List_v.2022-2"
"sp203","Dutch; Flemish","Wilde Zuurzak","false","IUCN_Red_List_v.2022-2"
"sp203","Creoles and pidgins (Other)","Wild Soursop","false","IUCN_Red_List_v.2022-2"
"sp203","Dutch; Flemish","Zeezuurzak","false","IUCN_Red_List_v.2022-2"
"sp203","Dutch; Flemish","Zuurzak","false","IUCN_Red_List_v.2022-2"
"sp203","Dutch; Flemish","Zwampzuurzak","false","IUCN_Red_List_v.2022-2"
"sp203","South American Indian (Other)","Arasjisju","false","IUCN_Red_List_v.2022-2"
"sp204","Portuguese","Araticum","false","Brazilian_Flora_Online_v.393.285"
"sp204","Portuguese","Biribá","false","Brazilian_Flora_Online_v.393.285"
"sp204","Portuguese","Condessa","false","Brazilian_Flora_Online_v.393.285"
"sp204","Portuguese","Fructa Da Komdessa","false","Brazilian_Flora_Online_v.393.285"
"sp204","Portuguese","Fruta De Conde","false","Brazilian_Flora_Online_v.393.285"
"sp204","Portuguese","Fruta De Condessa","false","Brazilian_Flora_Online_v.393.285"
"sp204","Portuguese","Graviola Brava","false","Brazilian_Flora_Online_v.393.285"
"sp204","Creoles and pidgins (Other)","Abriba","false","IUCN_Red_List_v.2022-2"
"sp204","South American Indian (Other)","Casima","false","IUCN_Red_List_v.2022-2"
"sp204","South American Indian (Other)","Iliwa","false","IUCN_Red_List_v.2022-2"
"sp204","South American Indian (Other)","Kasimya","false","IUCN_Red_List_v.2022-2"
"sp204","English","Sugar Apple","false","IUCN_Red_List_v.2022-2"
"sp206","Portuguese","Vaovír","false","Brazilian_Flora_Online_v.393.285"
"sp207","Portuguese","Araticum","false","Brazilian_Flora_Online_v.393.285"
"sp208","Portuguese","Embira Preta","false","Brazilian_Flora_Online_v.393.285"
"sp208","Portuguese","Embua-Preta","false","Brazilian_Flora_Online_v.393.285"
"sp209","Portuguese","Araticum","false","Brazilian_Flora_Online_v.393.285"
"sp209","Portuguese","Pinaíba","false","Brazilian_Flora_Online_v.393.285"
"sp209","Portuguese","Araticum-Da-Mata","false","Brazilian_Flora_Online_v.393.285"
"sp209","Portuguese","Araticum-Apé","false","Brazilian_Flora_Online_v.393.285"
"sp209","Portuguese","Araticum-Vermelho","false","Brazilian_Flora_Online_v.393.285"
"sp209","Portuguese","Oiti-Apé","false","Brazilian_Flora_Online_v.393.285"
"sp210","Portuguese","Affenbeeren","false","Brazilian_Flora_Online_v.393.285"
"sp210","Portuguese","Alchexú","false","Brazilian_Flora_Online_v.393.285"
"sp210","Portuguese","Araticú","false","Brazilian_Flora_Online_v.393.285"
"sp210","Portuguese","Araticú Do Mata","false","Brazilian_Flora_Online_v.393.285"
