"infraType","infrarankAuthor","infrarankName","internal_taxon_id","name","speciesAuthor","speciesName"
"","","","sp3143","Myrcia curatellifolia DC.","DC.","Myrcia curatellifolia"
"","","","sp3143","Myrcia leucantha (O.Berg) N.Silveira","(O.Berg) N.Silveira","Myrcia leucantha"
"","","","sp3143","Myrcia marahanensis Kiaersk.","Kiaersk.","Myrcia marahanensis"
"","","","sp3143","Myrcia membranacea Kiaersk.","Kiaersk.","Myrcia membranacea"
"","","","sp3143","Myrcia puberula Cambess.","Cambess.","Myrcia puberula"
"","","","sp3143","Myrcia rosulans (O.Berg) Kiaersk.","(O.Berg) Kiaersk.","Myrcia rosulans"
"","","","sp3143","Myrtus aubletii Spreng.","Spreng.","Myrtus aubletii"
"","","","sp3143","Myrcia venosa (O.Berg) Mattos","(O.Berg) Mattos","Myrcia venosa"
"","","","sp3143","Myrcia piahuiensis (O.Berg) Mattos","(O.Berg) Mattos","Myrcia piahuiensis"
"","","","sp3143","Myrcia lanuginosa O.Berg","O.Berg","Myrcia lanuginosa"
"","","","sp3149","Myrcia sosias Legrand","Legrand","Myrcia sosias"
"","","","sp3150","Myrcia ovalis (O.Berg) N.Silveira","(O.Berg) N.Silveira","Myrcia ovalis"
"","","","sp3150","Aulomyrcia variabilis (Mart. ex DC.) O.Berg","(Mart. ex DC.) O.Berg","Aulomyrcia variabilis"
