"CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceLookup","CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceName","CountryOccurrence.CountryOccurrenceSubfield.formerlyBred","CountryOccurrence.CountryOccurrenceSubfield.origin","CountryOccurrence.CountryOccurrenceSubfield.presence","CountryOccurrence.CountryOccurrenceSubfield.seasonality","internal_taxon_id"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp15"
"BR","Brazil",NA,"Native","Extant","Resident","sp15"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp16"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp16"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp16"
"BZS-SC","Brazil",NA,"Native","Extant","Resident","sp16"
"BZS-PR","Brazil",NA,"Native","Extant","Resident","sp16"
"BZE-PB","Brazil",NA,"Native","Extant","Resident","sp16"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp16"
"AGE-MI","Argentina",NA,"Native","Extant","Resident","sp16"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp16"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp16"
"BZC-MS","Brazil",NA,"Native","Extant","Resident","sp16"
"BZC-DF","Brazil",NA,"Native","Extant","Resident","sp16"
"BZE-MA","Brazil",NA,"Native","Extant","Resident","sp16"
"BZE-SE","Brazil",NA,"Native","Extant","Resident","sp16"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp16"
"BZE-CE","Brazil",NA,"Native","Extant","Resident","sp16"
"BZE-AL","Brazil",NA,"Native","Extant","Resident","sp16"
"BZS-RS","Brazil",NA,"Native","Extant","Resident","sp16"
"BZE-RN","Brazil",NA,"Native","Extant","Resident","sp16"
"BZN-RO","Brazil",NA,"Native","Extant","Resident","sp16"
"BR","Brazil",NA,"Native","Extant","Resident","sp16"
"BZN-PA","Brazil",NA,"Native","Extant","Resident","sp16"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp17"
"BZC-MS","Brazil",NA,"Native","Extant","Resident","sp17"
"BZS-RS","Brazil",NA,"Native","Extant","Resident","sp17"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp17"
"BZS-PR","Brazil",NA,"Native","Extant","Resident","sp17"
"BZS-SC","Brazil",NA,"Native","Extant","Resident","sp17"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp17"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp17"
"BO","Bolivia",NA,"Native","Extant","Resident","sp17"
"AGE-CO","Argentina",NA,"Native","Extant","Resident","sp17"
"AGE-CH","Argentina",NA,"Native","Extant","Resident","sp17"
"AR","Argentina",NA,"Native","Extant","Resident","sp17"
"AGE-CN","Argentina",NA,"Native","Extant","Resident","sp17"
"AGE-ER","Argentina",NA,"Native","Extant","Resident","sp17"
"AGW-SA","Argentina",NA,"Native","Extant","Resident","sp17"
"PY","Paraguay",NA,"Native","Extant","Resident","sp17"
"AGE-BA","Argentina",NA,"Native","Extant","Resident","sp17"
"AGE-MI","Argentina",NA,"Native","Extant","Resident","sp17"
"AGE-FO","Argentina",NA,"Native","Extant","Resident","sp17"
"AGW-JU","Argentina",NA,"Native","Extant","Resident","sp17"
"BZE-MA","Brazil",NA,"Native","Extant","Resident","sp17"
"BZC-DF","Brazil",NA,"Native","Extant","Resident","sp17"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp17"
"AGW-SL","Argentina",NA,"Native","Extant","Resident","sp17"
"BZN-AZ","Brazil",NA,"Native","Extant","Resident","sp17"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp17"
"BZC-MT","Brazil",NA,"Native","Extant","Resident","sp17"
"BZN-TO","Brazil",NA,"Native","Extant","Resident","sp17"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp17"
"BZN-RO","Brazil",NA,"Native","Extant","Resident","sp17"
"BZE-RN","Brazil",NA,"Native","Extant","Resident","sp17"
"BZE-PB","Brazil",NA,"Native","Extant","Resident","sp17"
"BZE-CE","Brazil",NA,"Native","Extant","Resident","sp17"
"AGW-TU","Argentina",NA,"Native","Extant","Resident","sp17"
"JM","Jamaica",NA,"Native","Extant","Resident","sp17"
"MXT-CI","Mexico",NA,"Native","Extant","Resident","sp17"
"BR","Brazil",NA,"Native","Extant","Resident","sp17"
"BZE-AL","Brazil",NA,"Native","Extant","Resident","sp17"
"AGW-CA","Argentina",NA,"Native","Extant","Resident","sp17"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp18"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp18"
"CO","Colombia",NA,"Native","Extant","Resident","sp18"
"VE","Venezuela",NA,"Native","Extant","Resident","sp18"
"EC","Ecuador",NA,"Native","Extant","Resident","sp18"
"PE","Peru",NA,"Native","Extant","Resident","sp18"
"BO","Bolivia",NA,"Native","Extant","Resident","sp18"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp18"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp18"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp18"
"BZN-AC","Brazil",NA,"Native","Extant","Resident","sp18"
"BZN-PA","Brazil",NA,"Native","Extant","Resident","sp18"
"BZN-RO","Brazil",NA,"Native","Extant","Resident","sp18"
"BZN-AZ","Brazil",NA,"Native","Extant","Resident","sp18"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp19"
"BZN-RO","Brazil",NA,"Native","Extant","Resident","sp19"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp19"
"BZN-PA","Brazil",NA,"Native","Extant","Resident","sp19"
"CO","Colombia",NA,"Native","Extant","Resident","sp19"
"GF","French Guiana",NA,"Native","Extant","Resident","sp19"
"SR","Suriname",NA,"Native","Extant","Resident","sp19"
"PE","Peru",NA,"Native","Extant","Resident","sp19"
"VE","Venezuela",NA,"Native","Extant","Resident","sp19"
"MXT-CI","Mexico",NA,"Native","Extant","Resident","sp19"
"MXT-TB","Mexico",NA,"Native","Extant","Resident","sp19"
"MXE-TA","Mexico",NA,"Native","Extant","Resident","sp19"
"CR","Costa Rica",NA,"Native","Extant","Resident","sp19"
"MXC-PU","Mexico",NA,"Native","Extant","Resident","sp19"
"BO","Bolivia",NA,"Native","Extant","Resident","sp19"
"EC","Ecuador",NA,"Native","Extant","Resident","sp19"
"MXT-QR","Mexico",NA,"Native","Extant","Resident","sp19"
"MXT-YU","Mexico",NA,"Native","Extant","Resident","sp19"
"MXS-JA","Mexico",NA,"Native","Extant","Resident","sp19"
"MXE-SL","Mexico",NA,"Native","Extant","Resident","sp19"
"BZN-AC","Brazil",NA,"Native","Extant","Resident","sp19"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp19"
"BZC-DF","Brazil",NA,"Native","Extant","Resident","sp19"
"BZC-MT","Brazil",NA,"Native","Extant","Resident","sp19"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp19"
"BZC-MS","Brazil",NA,"Native","Extant","Resident","sp19"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp19"
"MXG-VC","Mexico",NA,"Native","Extant","Resident","sp19"
"BZN-AZ","Brazil",NA,"Native","Extant","Resident","sp19"
"BZ","Belize",NA,"Native","Extant","Resident","sp19"
"NI","Nicaragua",NA,"Native","Extant","Resident","sp19"
"PA","Panama",NA,"Native","Extant","Resident","sp19"
"HN","Honduras",NA,"Native","Extant","Resident","sp19"
"BR","Brazil",NA,"Native","Extant","Resident","sp19"
"GT","Guatemala",NA,"Native","Extant","Resident","sp19"
"BZN-RM","Brazil",NA,"Native","Extant","Resident","sp19"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp20"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp20"
"BZS-RS","Brazil",NA,"Native","Extant","Resident","sp20"
"AGE-MI","Argentina",NA,"Native","Extant","Resident","sp20"
"BZC-MS","Brazil",NA,"Native","Extant","Resident","sp20"
"BZS-SC","Brazil",NA,"Native","Extant","Resident","sp20"
"BZS-PR","Brazil",NA,"Native","Extant","Resident","sp20"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp20"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp20"
"PY","Paraguay",NA,"Native","Extant","Resident","sp20"
"AGE-CN","Argentina",NA,"Native","Extant","Resident","sp20"
"AGE-BA","Argentina",NA,"Native","Extant","Resident","sp20"
"BZN-RM","Brazil",NA,"Native","Extant","Resident","sp20"
"CO","Colombia",NA,"Native","Extant","Resident","sp20"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp20"
"BZE-CE","Brazil",NA,"Native","Extant","Resident","sp20"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp20"
"AGE-ER","Argentina",NA,"Native","Extant","Resident","sp20"
"BZN-AC","Brazil",NA,"Native","Extant","Resident","sp20"
"BR","Brazil",NA,"Native","Extant","Resident","sp20"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp21"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp21"
"BZN-AZ","Brazil",NA,"Native","Extant","Resident","sp21"
"VE","Venezuela",NA,"Native","Extant","Resident","sp21"
"CO","Colombia",NA,"Native","Extant","Resident","sp21"
"SV","El Salvador",NA,"Native","Extant","Resident","sp21"
"MXT-CI","Mexico",NA,"Native","Extant","Resident","sp21"
"MXS-GR","Mexico",NA,"Native","Extant","Resident","sp21"
"MXS-JA","Mexico",NA,"Native","Extant","Resident","sp21"
"MXE-TA","Mexico",NA,"Native","Extant","Resident","sp21"
"MXT-TB","Mexico",NA,"Native","Extant","Resident","sp21"
"CR","Costa Rica",NA,"Native","Extant","Resident","sp21"
"MXE-CU","Mexico",NA,"Native","Extant","Resident","sp21"
"EC","Ecuador",NA,"Native","Extant","Resident","sp21"
"MXE-GU","Mexico",NA,"Native","Extant","Resident","sp21"
"MXT-YU","Mexico",NA,"Native","Extant","Resident","sp21"
"MXC-ME","Mexico",NA,"Native","Extant","Resident","sp21"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp21"
"BZN-AC","Brazil",NA,"Native","Extant","Resident","sp21"
"BZC-DF","Brazil",NA,"Native","Extant","Resident","sp21"
"BZS-PR","Brazil",NA,"Native","Extant","Resident","sp21"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp21"
"BZN-RO","Brazil",NA,"Native","Extant","Resident","sp21"
"PE","Peru",NA,"Native","Extant","Resident","sp21"
"BO","Bolivia",NA,"Native","Extant","Resident","sp21"
"GT","Guatemala",NA,"Native","Extant","Resident","sp21"
"MXG-VC","Mexico",NA,"Native","Extant","Resident","sp21"
"HN","Honduras",NA,"Native","Extant","Resident","sp21"
"MXS-MI","Mexico",NA,"Native","Extant","Resident","sp21"
"MXC-PU","Mexico",NA,"Native","Extant","Resident","sp21"
"PA","Panama",NA,"Native","Extant","Resident","sp21"
"BZ","Belize",NA,"Native","Extant","Resident","sp21"
"BZN-RM","Brazil",NA,"Native","Extant","Resident","sp21"
"BR","Brazil",NA,"Native","Extant","Resident","sp21"
"MX","Mexico",NA,"Native","Extant","Resident","sp21"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp21"
"BZS-RS","Brazil",NA,"Native","Extant","Resident","sp22"
"BZS-PR","Brazil",NA,"Native","Extant","Resident","sp22"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp22"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp22"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp22"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp22"
"AGE-CN","Argentina",NA,"Native","Extant","Resident","sp22"
"AGE-MI","Argentina",NA,"Native","Extant","Resident","sp22"
"AGE-ER","Argentina",NA,"Native","Extant","Resident","sp22"
"PY","Paraguay",NA,"Native","Extant","Resident","sp22"
"BZE-SE","Brazil",NA,"Native","Extant","Resident","sp22"
"BZE-AL","Brazil",NA,"Native","Extant","Resident","sp22"
"BZE-CE","Brazil",NA,"Native","Extant","Resident","sp22"
"BZE-PB","Brazil",NA,"Native","Extant","Resident","sp22"
"BZC-MS","Brazil",NA,"Native","Extant","Resident","sp22"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp22"
"BR","Brazil",NA,"Native","Extant","Resident","sp22"
"BZE-PI","Brazil",NA,"Native","Extant","Resident","sp22"
"BZN-PA","Brazil",NA,"Native","Extant","Resident","sp22"
"BZE-RN","Brazil",NA,"Native","Extant","Resident","sp22"
"BO","Bolivia",NA,"Native","Extant","Resident","sp22"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp22"
"BZS-SC","Brazil",NA,"Native","Extant","Resident","sp22"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp23"
"BZE-CE","Brazil",NA,"Native","Extant","Resident","sp23"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp23"
"BZC-MS","Brazil",NA,"Native","Extant","Resident","sp23"
"AGW-JU","Argentina",NA,"Native","Extant","Resident","sp23"
"AGW-SA","Argentina",NA,"Native","Extant","Resident","sp23"
"PY","Paraguay",NA,"Native","Extant","Resident","sp23"
"VE","Venezuela",NA,"Native","Extant","Resident","sp23"
"CO","Colombia",NA,"Native","Extant","Resident","sp23"
"SV","El Salvador",NA,"Native","Extant","Resident","sp23"
"MXT-YU","Mexico",NA,"Native","Extant","Resident","sp23"
"MXT-TB","Mexico",NA,"Native","Extant","Resident","sp23"
"MXT-CA","Mexico",NA,"Native","Extant","Resident","sp23"
"MXT-QR","Mexico",NA,"Native","Extant","Resident","sp23"
"MXT-CI","Mexico",NA,"Native","Extant","Resident","sp23"
"CR","Costa Rica",NA,"Native","Extant","Resident","sp23"
"EC","Ecuador",NA,"Native","Extant","Resident","sp23"
"MXE-TA","Mexico",NA,"Native","Extant","Resident","sp23"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp23"
"CW","Curaçao",NA,"Native","Extant","Resident","sp23"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp23"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp23"
"BZN-TO","Brazil",NA,"Native","Extant","Resident","sp23"
"BZN-PA","Brazil",NA,"Native","Extant","Resident","sp23"
"BZE-PB","Brazil",NA,"Native","Extant","Resident","sp23"
"BZE-AL","Brazil",NA,"Native","Extant","Resident","sp23"
"BZE-MA","Brazil",NA,"Native","Extant","Resident","sp23"
"PA","Panama",NA,"Native","Extant","Resident","sp23"
"BO","Bolivia",NA,"Native","Extant","Resident","sp23"
"NI","Nicaragua",NA,"Native","Extant","Resident","sp23"
"PE","Peru",NA,"Native","Extant","Resident","sp23"
"MXS-JA","Mexico",NA,"Native","Extant","Resident","sp23"
"BZC-MT","Brazil",NA,"Native","Extant","Resident","sp23"
"BZN-RO","Brazil",NA,"Native","Extant","Resident","sp23"
"AGE-CN","Argentina",NA,"Native","Extant","Resident","sp23"
"BZS-PR","Brazil",NA,"Native","Extant","Resident","sp23"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp24"
"BZS-PR","Brazil",NA,"Native","Extant","Resident","sp24"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp24"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp24"
"BZC-MT","Brazil",NA,"Native","Extant","Resident","sp24"
"BZC-MS","Brazil",NA,"Native","Extant","Resident","sp24"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp25"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp25"
"AGE-CN","Argentina",NA,"Native","Extant","Resident","sp25"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp25"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp25"
"BZE-CE","Brazil",NA,"Native","Extant","Resident","sp25"
"BZE-SE","Brazil",NA,"Native","Extant","Resident","sp25"
"BZC-MS","Brazil",NA,"Native","Extant","Resident","sp25"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp25"
"BZE-AL","Brazil",NA,"Native","Extant","Resident","sp25"
"BZE-PB","Brazil",NA,"Native","Extant","Resident","sp25"
"BO","Bolivia",NA,"Native","Extant","Resident","sp25"
"PY","Paraguay",NA,"Native","Extant","Resident","sp25"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp25"
"BZE-RN","Brazil",NA,"Native","Extant","Resident","sp25"
"BZE-AL","Brazil",NA,"Native","Extant","Resident","sp26"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp26"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp26"
"BZE-SE","Brazil",NA,"Native","Extant","Resident","sp26"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp26"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp26"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp27"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp27"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp27"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp28"
"BZS-RS","Brazil",NA,"Native","Extant","Resident","sp29"
