"infraType","infrarankAuthor","infrarankName","internal_taxon_id","name","speciesAuthor","speciesName","source.info"
"var.","(Poepp. ex Seem.) Müll.Arg.","carpinifolia","sp19","Acalypha diversifolia var. carpinifolia (Poepp. ex Seem.) Müll.Arg.","","Acalypha diversifolia","Brazilian_Flora_Online_v.393.285"
"var.","Pax & K.Hoffm.","caloneura","sp19","Acalypha diversifolia var. caloneura Pax & K.Hoffm.","","Acalypha diversifolia","Brazilian_Flora_Online_v.393.285"
"var.","Müll.Arg.","genuina","sp19","Acalypha diversifolia var. genuina Müll.Arg.","","Acalypha diversifolia","Brazilian_Flora_Online_v.393.285"
"var.","(Kunth) Müll.Arg.","popayanensis","sp19","Acalypha diversifolia var. popayanensis (Kunth) Müll.Arg.","","Acalypha diversifolia","Brazilian_Flora_Online_v.393.285"
"var.","Müll.Arg.","squarrosa","sp19","Acalypha diversifolia var. squarrosa Müll.Arg.","","Acalypha diversifolia","Brazilian_Flora_Online_v.393.285"
"","","","sp19","Acalypha hartwegiana Benth. ex Baill.","Benth. ex Baill.","Acalypha hartwegiana","Brazilian_Flora_Online_v.393.285"
"","","","sp19","Acalypha leptostachya Kunth","Kunth","Acalypha leptostachya","Brazilian_Flora_Online_v.393.285"
"var.","(Poepp. ex Seem.) Müll.Arg.","carpinifolia","sp19","Acalypha leptostachya var. carpinifolia (Poepp. ex Seem.) Müll.Arg.","","Acalypha leptostachya","Brazilian_Flora_Online_v.393.285"
"var.","Müll.Arg.","genuina","sp19","Acalypha leptostachya var. genuina Müll.Arg.","","Acalypha leptostachya","Brazilian_Flora_Online_v.393.285"
"var.","(Kunth) Müll.Arg.","popayanensis","sp19","Acalypha leptostachya var. popayanensis (Kunth) Müll.Arg.","","Acalypha leptostachya","Brazilian_Flora_Online_v.393.285"
"","","","sp19","Acalypha microgyna Poepp.","Poepp.","Acalypha microgyna","Brazilian_Flora_Online_v.393.285"
"","","","sp19","Acalypha panamensis Klotzsch","Klotzsch","Acalypha panamensis","Brazilian_Flora_Online_v.393.285"
"","","","sp19","Acalypha popayanensis Kunth","Kunth","Acalypha popayanensis","Brazilian_Flora_Online_v.393.285"
"","","","sp19","Acalypha salicioides Rusby","Rusby","Acalypha salicioides","Brazilian_Flora_Online_v.393.285"
"","","","sp19","Acalypha samydifolia Poepp.","Poepp.","Acalypha samydifolia","Brazilian_Flora_Online_v.393.285"
"","","","sp19","Acalypha tabascensis Lundell","Lundell","Acalypha tabascensis","Brazilian_Flora_Online_v.393.285"
"","","","sp19","Acalypha ulmifolia Benth.","Benth.","Acalypha ulmifolia","Brazilian_Flora_Online_v.393.285"
"","","","sp20","Acalypha divaricata Baill.","Baill.","Acalypha divaricata","Brazilian_Flora_Online_v.393.285"
"var.","Glaz.","leptostachya","sp20","Acalypha diversifolia var. leptostachya Glaz.","","Acalypha diversifolia","Brazilian_Flora_Online_v.393.285"
"var.","(Baill.) Pax & K.Hoffm.","divaricata","sp20","Acalypha gracilis var. divaricata (Baill.) Pax & K.Hoffm.","","Acalypha gracilis","Brazilian_Flora_Online_v.393.285"
"var.","Müll.Arg.","fruticulosa","sp20","Acalypha gracilis var. fruticulosa Müll.Arg.","","Acalypha gracilis","Brazilian_Flora_Online_v.393.285"
"var.","Müll.Arg.","genuina","sp20","Acalypha gracilis var. genuina Müll.Arg.","","Acalypha gracilis","Brazilian_Flora_Online_v.393.285"
"var.","Müll.Arg.","pubescens","sp20","Acalypha gracilis var. pubescens Müll.Arg.","","Acalypha gracilis","Brazilian_Flora_Online_v.393.285"
"","","","sp20","Acalypha striolata Lingelsh.","Lingelsh.","Acalypha striolata","Brazilian_Flora_Online_v.393.285"
"","","","sp21","Acalypha amplifolia Rusby","Rusby","Acalypha amplifolia","Brazilian_Flora_Online_v.393.285"
"","","","sp21","Acalypha callosa Benth.","Benth.","Acalypha callosa","Brazilian_Flora_Online_v.393.285"
"","","","sp21","Acalypha cancana Müll.Arg.","Müll.Arg.","Acalypha cancana","Brazilian_Flora_Online_v.393.285"
"","","","sp21","Acalypha caucana Müll.Arg.","Müll.Arg.","Acalypha caucana","Brazilian_Flora_Online_v.393.285"
"","","","sp21","Acalypha caudata Kunth","Kunth","Acalypha caudata","Brazilian_Flora_Online_v.393.285"
