"infraType","infrarankAuthor","infrarankName","internal_taxon_id","name","speciesAuthor","speciesName"
"var.","(Müll.Arg.) Pax & K.Hoffm.","paniculata","sp23","Acalypha villosa var. paniculata (Müll.Arg.) Pax & K.Hoffm.",NA,"Acalypha villosa"
"var.","Müll.Arg.","tomentosa","sp23","Acalypha villosa var. tomentosa Müll.Arg.",NA,"Acalypha villosa"
"var.","Müll.Arg.","trichopoda","sp23","Acalypha villosa var. trichopoda Müll.Arg.",NA,"Acalypha villosa"
NA,NA,NA,"sp24","Polygala klotzschii Chodat","Chodat","Polygala klotzschii"
NA,NA,NA,"sp25","Acanthocladus albicans A.W.Benn.","A.W.Benn.","Acanthocladus albicans"
NA,NA,NA,"sp25","Polygala dichroma Steud.","Steud.","Polygala dichroma"
NA,NA,NA,"sp26","Polygala pulcherrima Kuhlm.","Kuhlm.","Polygala pulcherrima"
NA,NA,NA,"sp27","Polygala santosii Wurdack","Wurdack","Polygala santosii"
NA,NA,NA,"sp29","Osyris spinescens Mart. & Eichler","Mart. & Eichler","Osyris spinescens"
NA,NA,NA,"sp30","Psidium stictophyllum (Kiaersk.) Mattos","(Kiaersk.) Mattos","Psidium stictophyllum"
NA,NA,NA,"sp30","Guajava elegans (DC.) Kuntze","(DC.) Kuntze","Guajava elegans"
NA,NA,NA,"sp30","Myrtus elegans DC.","DC.","Myrtus elegans"
NA,NA,NA,"sp30","Myrtus stictophylla Kiaersk.","Kiaersk.","Myrtus stictophylla"
NA,NA,NA,"sp30","Psidium elegans (DC.) O.Berg","(DC.) O.Berg","Psidium elegans"
"var.","O.Berg","angustifolium","sp30","Psidium elegans var. angustifolium O.Berg",NA,"Psidium elegans"
"var.","O.Berg","latifolium","sp30","Psidium elegans var. latifolium O.Berg",NA,"Psidium elegans"
NA,NA,NA,"sp31","Achatocarpus bicornutus Schinz & Autran","Schinz & Autran","Achatocarpus bicornutus"
NA,NA,NA,"sp32","Sweetia diffusissima Mohlenbr.","Mohlenbr.","Sweetia diffusissima"
NA,NA,NA,"sp33","Acosmium fallax (Taub.) Yakovlev","(Taub.) Yakovlev","Acosmium fallax"
NA,NA,NA,"sp33","Sweetia lentiscifolia (Schott) Benth.","(Schott) Benth.","Sweetia lentiscifolia"
NA,NA,NA,"sp33","Sweetia fallax Taub.","Taub.","Sweetia fallax"
NA,NA,NA,"sp34","Decachaeta conferta Gardner","Gardner","Decachaeta conferta"
