order,locality1,UC
25110,Parque Estadual do Rio Doce. Trilha da Carioca.,PI
25111,Parque Estadual do Rio Doce. Trilha do Anibal,PI
25112,"Parque Estadual do Rio Doce. Trilha do Anibal, picada para a parcela do TEAM.",PI
25113,"Parque Estadual do Rio Doce. Trilha do Anibal, picada para parcela do TEAM",PI
25114,"Parque Estadual do Rio Doce. Very deep light tan sandy clay. On peninsula at Lake Helvecio near """""""" Casa de Tabua"""""""" guest house",PI
25115,Parque Estadual do Rio Doce. Very deep light tan sandy clay. On peninsula at Lake Helvecio near \casa de tabua\ guest house. Low secondary forest with some tall trees of original evergreen broadleaf virgin forest. Undergrowth cleared,PI
25116,"Parque Estadual do Rio Doce., Area em volta da lagoa Carioca",PI
25117,"Parque Estadual do Rio Doce., Caminho para a Lagoa do Meio",PI
25118,"Parque Estadual do Rio Doce., Estrada Restaurante-Laboratorio, perto Laboratorio",PI
25119,"Parque Estadual do Rio Doce., Estrada Salao Dourado-Campolina, logo apos cancela",PI
25120,"Parque Estadual do Rio Doce., final da Trilha do Vinhatico",PI
25121,"Parque Estadual do Rio Doce., Lagoa dos Patos (Mumbaca)",PI
25122,"Parque Estadual do Rio Doce., Lagoa dos Patos (Mumbaca). Floresta estacional semidecidual submontana",PI
25123,"Parque Estadual do Rio Doce., Mumbaca",PI
25124,"Parque Estadual do Rio Doce., Proximo ao Hotel",PI
25125,"Parque Estadual do Rio Doce., Trilha da Campolina",PI
25126,Parque Estadual do Rio Doce.Near Hotel on peninsula in lake Helvecio,PI
25127,Parque Estadual do Rio Doce; caminho para a Lagoa do Meio,PI
25128,Parque Estadual do Rio Doce; estrada para a Campolina,PI
25129,Parque Estadual do Rio Doce; proximo a ponte queimada,PI
25130,Parque Estadual do Rio Doce; proximo a Ponte Queimada,PI
25131,"Parque Estadual do Rio Doce; Regiao do Vinhatico, Regiao do Vinhatico",PI
25132,Parque Estadual do Rio Doce; trilha do Vilhatico,PI
25133,Parque Estadual do Rio Doce; trilha para lagoa do Anibal. Mata Atlantica,PI
25134,Parque Estadual do Rio Guarani,PI
25135,Parque Estadual do Rio Guarani. Floresta Estacional Semidecidual,PI
25136,"Parque Estadual do Rio Guarani. Segunda Trilha. 22J 0282932 S, 7184578",PI
25137,Parque Estadual do Rio Guarani. Trilha de Educacao Ambiental,PI
25138,"Parque Estadual do Rio Ivinhema, Rio Ivinhema, lagoa Peroba",PI
25139,"Parque Estadual do Rio Ivinhema, Rio Ivinhema, Lagoa Peroba",PI
25140,"Parque Estadual do Rio Negro (limite sul), Rio Aquidauana, Pantanal",PI
25141,Parque Estadual do Rio Pedro,PI
25142,Parque estadual do Rio Preto,PI
25143,Parque Estadual do Rio Preto,PI
25144,"Parque Estadual do Rio Preto (PERP), Area de transicao entre Cerrado e Campo Rupestre",PI
25145,"Parque Estadual do Rio Preto (PERP), Campo rupestre",PI
25146,"Parque Estadual do Rio Preto (PERP), Cerrado / Transicao para Mata de Galeria",PI
25147,"Parque Estadual do Rio Preto (PERP), Cerrado/Transicao para Mata de Galeria",PI
25148,"Parque Estadual do Rio Preto (PERP), Margem da Cachoeira das Sempre Vivas",PI
25149,Parque Estadual do Rio Preto alojamento por trilha ate cachoeira no corrego das Eguas e depois ate o camping,PI
25150,Parque Estadual do Rio Preto entre a casa de hospedes e o Vale das Estrelas,PI
25151,Parque Estadual do Rio Preto entre a Casa de Hospedes e o Vale das Estrelas,PI
25152,Parque Estadual do Rio Preto entre a Casa de Hospedes e Vale das Estrelas,PI
25153,Parque Estadual do Rio Preto Folha Cartografica Coordenada Coletada,PI
25154,"Parque Estadual do Rio Preto, Alojamento ao ribeirao das Eguas, dai margeando o rio ate a cachoeira dos Crioulos e depois pelo rio e trilha no cerrado ate o camping",PI
25155,"Parque Estadual do Rio Preto, Alto da Cachoeira do Crioulo. Cerrado/Campo rupestre",PI
25156,"Parque Estadual do Rio Preto, area com vegetacao de cerrrado e formacoes rupestres",PI
25157,"Parque Estadual do Rio Preto, Campo do Mocambo",PI
25158,"Parque Estadual do Rio Preto, Campo Mocambo",PI
25159,"Parque Estadual do Rio Preto, campos rupestres acima da Cachoeira do Crioulo",PI
25160,"Parque Estadual do Rio Preto, Campos rupestres acima da cachoeira do crioulo",PI
25161,"Parque Estadual do Rio Preto, campos rupestres acima da Cachoeira do Crioulo.",PI
25162,"Parque Estadual do Rio Preto, Campos rupestres acma da Cachoeira do Crioulo",PI
25163,"Parque Estadual do Rio Preto, campos rupestres da Cachoeira do Crioulo",PI
25164,"Parque Estadual do Rio Preto, Capao das Candeias. Coletada em afloramento rochoso. Cerrado",PI
25165,"Parque Estadual do Rio Preto, capao de mata nas margens do Corrego do Meio",PI
25166,"Parque Estadual do Rio Preto, capao de mata nas margens do Corrego do Meio.",PI
25167,"Parque Estadual do Rio Preto, casa de hospedes a cascata do Ribeirao das Eguas. Proximo a cascata, egetacao ribeirinha sobre areia",PI
25168,"Parque Estadual do Rio Preto, cCampo do Mocambo, campos rupestres",PI
25169,"Parque Estadual do Rio Preto, Cerrado",PI
25170,"Parque Estadual do Rio Preto, Cerrado, transicao para Mata de Galeria",PI
25171,"Parque Estadual do Rio Preto, Cerrado/ Transicao para mata da Galeria",PI
25172,"Parque Estadual do Rio Preto, Cerrado/Campo rupestre",PI
25173,"Parque Estadual do Rio Preto, Chapada do Couto",PI
25174,"Parque Estadual do Rio Preto, Chapada do Couto-Capoes de mata de altitude na regiao sudeste do PERP. Proximo a Lapa da Santa",PI
25175,"Parque Estadual do Rio Preto, Chapada do Couto-Capoes de mata de altitude na regiao sudoeste do PERP",PI
25176,"Parque Estadual do Rio Preto, Chapada do Couto, regiao sudoeste do parque",PI
25177,"Parque Estadual do Rio Preto, Chapada do Couto. Regiao sudoeste do PERP",PI
25178,"Parque Estadual do Rio Preto, Comeco da trilha para as pinturas rupestres",PI
25179,"Parque Estadual do Rio Preto, Corrego da Lapa",PI
25180,"Parque Estadual do Rio Preto, Corrego do Capao Azul",PI
25181,"Parque Estadual do Rio Preto, Da casa de hospedes (18º07'34''S, 43º21'24''W) a cascata do Ribeirao das Eguas (18º08'43''S, 43º22'10''W) e entao por fim ao camping (18º06'54''S, 43º20'28''W)",PI
25182,"Parque Estadual do Rio Preto, da casa de hospedes a cascata do Rio das Eguas e entao por fim ao camping",PI
25183,"Parque Estadual do Rio Preto, do alojame, about 18km beyond Sao Goncalo do Rio Preto. Vicinity of the visitor center",PI
25184,"Parque Estadual do Rio Preto, do alojamento a Cachoeira dos Criolos e de volta ao alojamento, pelo camping",PI
25185,"Parque Estadual do Rio Preto, do alojamento ao ribeirao das Eguas (18°08'37""""""""S 43°22'16""""""""W), dai margenado o rio ate a cachoeira dos Crioulos (18°08'42""""""""S 43°22'17""""""""W) e depois pelo rio e trilha no cerrado ate o camping",PI
25186,"Parque Estadual do Rio Preto, do alojamento ao ribeirao das Eguas, dai margeando o rio ate a cachoeira dos Crioulos e depois pelo rio e trilha no cerrado ate o camping",PI
25187,"Parque Estadual do Rio Preto, Do alojamento por trilha ate a cachoeira no corrego das Eguas e depois ate o camping",PI
25188,"Parque Estadual do Rio Preto, Do alojamento por trilha ate a cachoeira no corrego das Eguas e depois ate o camping. Cerrado",PI
25189,"Parque Estadual do Rio Preto, em encosta proxima a trilha na mata margeando o Rio Preto",PI
25190,"Parque Estadual do Rio Preto, Em mata ciliar as margens do Rio Preto. Proximo a nascente",PI
25191,"Parque Estadual do Rio Preto, entre a regiao do mirante e do vale da estrela",PI
25192,"Parque Estadual do Rio Preto, Entreo o alojamento e mirante",PI
25193,"Parque Estadual do Rio Preto, Estrada para o sanitario, ca. 4000m da casa do vigilante",PI
25194,"Parque Estadual do rio Preto, Estrada para o sanitario, ca. 500m da casa do vigilante",PI
25195,"Parque Estadual do Rio Preto, Forquilha",PI
25196,"Parque Estadual do Rio Preto, Indo do Pico Dois Irmaos pro Morro Redondo",PI
25197,"Parque Estadual do Rio Preto, mata ciliar do corrego do Capao Azul",PI
25198,"Parque Estadual do Rio Preto, Mata ciliar do corrego do Capao Azul",PI
25199,"Parque Estadual do Rio Preto, Mata ciliar do Corrego do Capao Azul",PI
25200,"Parque Estadual do Rio Preto, Mata ciliar na margem esquerda do Rio Preto, proximo a Casa de Vigilantes",PI
25201,"Parque Estadual do Rio Preto, Mata ciliar na margem esquerda do Rio Preto, proximo a Casa do Vigilantes",PI
25202,"Parque Estadual do Rio Preto, Morro do Quem-Quem",PI
25203,"Parque Estadual do Rio Preto, Na cachoeira perto da casa",PI
25204,"Parque Estadual do Rio Preto, Parque Estadual do Rio Preto. Mata ciliar na margem esquerda do Rio Preto, proximo a Casa de vigilantes",PI
25205,"Parque Estadual do Rio Preto, prox. a Casa dos Vigilantes, sent. sanitarios.&nf;18202962s , 43,576141w",PI
25206,"Parque Estadual do Rio Preto, Proximidades da portaria do PERP",PI
25207,"Parque Estadual do Rio Preto, proximidades da prainha",PI
25208,"Parque Estadual do Rio Preto, Proximidades do Mirante da Estrada Real. Cerrado/campo rupestre quartzitico",PI
25209,"Parque Estadual do Rio Preto, Proximo a 1ª Porteira do parque",PI
25210,"Parque Estadual do Rio Preto, proximo a 1ª porteira do Parque, 1,8km da guarita.",PI
25211,"Parque Estadual do Rio Preto, proximo a casa de Mozart",PI
25212,"Parque Estadual do Rio Preto, Proximo a Casa de Vigilantes",PI
25213,"Parque Estadual do Rio Preto, Proximo a Lapa do Nezinho",PI
25214,"Parque Estadual do Rio Preto, Proximo a placa das corredeiras",PI
25215,"Parque Estadual do Rio Preto, proximo a primeira porteira do parque, 1,8 km da guarita",PI
25216,"Parque Estadual do Rio Preto, Proximo ao antigo heliporto, ao lado da trilha das pinturas rupestre",PI
25217,"Parque Estadual do Rio Preto, proximo ao corrego da Lapa",PI
25218,"Parque Estadual do Rio Preto, Roteiro Pinturas Rupestres. Cerrado",PI
25219,"Parque Estadual do Rio Preto, SA£o GonA§alo do Rio Preto",PI
25220,"Parque Estadual do Rio Preto, Sao GonA§alo do Rio Preto",PI
25221,"Parque estadual do Rio Preto, Sao Goncalo dl Rio Preto-MG",PI
25222,"Parque estadual do Rio Preto, Sao Goncalo do Rio Preto-MG do alojamento ao ribeirao das Eguas. E depis pelo rio e trilha no cerrado ate o camping",PI
25223,"Parque Estadual do Rio Preto, Sao Goncalo do Rio Preto-MG entre e o Riacho das Eguas",PI
25224,"Parque Estadual do Rio Preto, Sao Goncalo do Rio Preto-MG, do alojamento ao ribeirao das Eguas, dai margeando o rio ate a cachoeira dos Crioulos e depois pelo e trilha no cerrado ate o camping",PI
25225,"Parque Estadual do Rio Preto, Sao Goncalo do Rio Preto-MG, entre o Riacho das Eguas",PI
25226,"Parque Estadual do Rio Preto, Sao Goncalo do Rio Preto da casa de hospedes a cascata do Ribeirao das Eguas e entao por fim ao camping",PI
25227,"Parque Estadual do Rio Preto, Sao Goncalo do Rio Preto. Mata ciliar do corrego do Capao Azul",PI
25228,"Parque Estadual do Rio Preto, Seguindo trilha depois de Vergem Estrela, em direcao a portaria",PI
25229,"Parque Estadual do Rio Preto, Sob rocha inclinada, proximo a Trilha entre a Casa da Chapada e o Morro Redondo",PI
25230,"Parque Estadual do Rio Preto, Subida para a Chapada",PI
25231,"Parque Estadual do Rio Preto, subida para a chapada, nos afloramentos rochosos. .",PI
25232,"Parque Estadual do Rio Preto, trilha da Baixada das Candeias",PI
25233,"Parque Estadual do Rio Preto, Trilha da Forquilha",PI
25234,"Parque Estadual do Rio Preto, Trilha da Prainha. Cerrado",PI
25235,"Parque Estadual do Rio Preto, Trilha das cachoeiras. Cerrado",PI
25236,"Parque Estadual do Rio Preto, Trilha das cachoeiras. Coletado no comeco da Trilha das cachoeiras. Cerrado",PI
25237,"Parque Estadual do Rio Preto, Trilha de subida para a Chapada, apos a Lapa da Santa",PI
25238,"Parque Estadual do Rio Preto, Trilha do alojamento ate a area de camping",PI
25239,"Parque Estadual do Rio Preto, trilha do alojamento ate o Corrego das eguas",PI
25240,"Parque Estadual do Rio Preto, trilha do alojamento ate o Corrego das Eguas",PI
25241,"Parque Estadual do Rio Preto, trilha do alojamento do Morro para Morro dois Irmaos",PI
25242,"Parque Estadual do Rio Preto, trilha do Camping ao areal do Corrego da Lapa",PI
25243,"Parque Estadual do Rio Preto, Trilha do Camping ao areal do Corrego da Lapa",PI
25244,"Parque Estadual do Rio Preto, trilha do Camping ao areal do Corrego da Lapa, passando pelo Poco do Veado",PI
25245,"Parque Estadual do Rio Preto, Trilha para a Cachoeira das Sempre Vivas",PI
25246,"Parque Estadual do Rio Preto, Trilha para a cachoeira do Crioulo",PI
25247,"Parque Estadual do Rio Preto, trilha para a cascata do Corrego das Eguas, dai seguindo o curso ate o Rio Preto e o camping",PI
25248,"Parque Estadual do Rio Preto, Trilha para a cascata do Corrego das Eguas, dai seguindo o curso ate o Rio Preto e o camping",PI
25249,"Parque Estadual do Rio Preto, Trilha para a cascata do Corrego das Eguas, dai seguindo o curso ate o Rio Preto e o camping. Cerrado",PI
25250,"Parque Estadual do Rio Preto, trilha para a cascata do Corrego das Eguas, dai segundo o curso ate o Rio Preto e o camping. Margem d'agua",PI
25251,"Parque Estadual do Rio Preto, trilha para a cascata do Corrego das Eguas, seguindo o curso ate o Rio Preto e camping",PI
25252,"Parque Estadual do Rio Preto, Trilha para a Forquilha.&nf;1812357s , 43342747w",PI
25253,"Parque Estadual do Rio Preto, Trilha para as corredeiras",PI
25254,"Parque Estadual do Rio Preto, Trilha para Corredeiras. Coletada proximo as Corredeiras. Solo rochoso, Cerrado/Campo rupestre quatzitico",PI
25255,"Parque Estadual do Rio Preto, trilha para o Poco dos Veados",PI
25256,"Parque Estadual do Rio Preto, Trilha para o Poco dos Veados. Beira de currso de agua",PI
25257,"Parque Estadual do Rio Preto, trilha Poco dos Veados-alojamento",PI
25258,"Parque Estadual do Rio Preto, Vale das Estrelas",PI
25259,"Parque Estadual do Rio Preto, Vale das Estrelas.",PI
25260,"Parque Estadual do Rio Preto, Vargem Estrela",PI
25261,"Parque Estadual do Rio Preto, Vau Bravo",PI
25262,"Parque Estadual do Rio Preto, vegetacao de cerrado e formacoes rupestres",PI
25263,Parque Estadual do Rio Preto.,PI
25264,Parque Estadual do Rio Preto. Caminho para a cachoeira do Crioulo,PI
25265,Parque Estadual do Rio Preto. Caminho para cachoeira do Crioulo,PI
25266,Parque Estadual do Rio Preto. Campo do Mocambo,PI
25267,Parque Estadual do Rio Preto. Campos rupestres acima da cachoeira do Crioulo,PI
25268,Parque Estadual do Rio Preto. Chapada,PI
25269,Parque Estadual do Rio Preto. Chapada do Couto,PI
25270,"Parque Estadual do Rio Preto. Chapada do Couto. Subida para o Pico Dois Irmaos, caminho alternativo, subindo pelo da Garrincha",PI
25271,"Parque Estadual do Rio Preto. Chapada., Mata ciliar do corrego dos Diamantes",PI
25272,Parque estadual do Rio Preto. Estrada para o restaurante,PI
25273,Parque Estadual do Rio Preto. Lapa do Crescencio. Areal,PI
25274,Parque Estadual do Rio Preto. Mata cilar do corrego do Capao Azul,PI
25275,Parque Estadual do Rio Preto. Mata ciliar do cA³rrego do CapA£o Azul,PI
25276,Parque Estadual do Rio Preto. Mata ciliar do corrego do Capao Azul,PI
25277,Parque Estadual do Rio Preto. Mata Ciliar do corrego do Capao Azul,PI
25278,Parque Estadual do Rio Preto. Pico Dois Irmaos,PI
25279,"Parque Estadual do Rio Preto. Pico Dois Irmaos., Pico II",PI
25280,"Parque Estadual do Rio Preto. Pico Dois Irmaos., Vale entre os dois picos",PI
25281,Parque Estadual do Rio Preto. Proximo a Casa de Vigilantes,PI
25282,Parque Estadual do Rio Preto. Riacho das Eguas,PI
25283,Parque Estadual do Rio Preto. Subida para o Morro Redondo,PI
25284,"Parque Estadual do Rio Preto. Terreno arenoso (areal), vegetacao riparia e area encharcada proximo a corrego",PI
25285,Parque Estadual do Rio Preto. Trilha da Lapa do Nezinho para o alojamento da Chapada.,PI
25286,Parque Estadual do Rio Preto. Trilha do alojamento ate a area de camping,PI
25287,Parque Estadual do Rio Preto. Trilha do Poco do Veado,PI
25288,"Parque Estadual do Rio Preto., About 18km beyond Sao Goncalo do Rio Preto on the trail to and along the Prainha",PI
25289,"Parque Estadual do Rio Preto., Brejo e area adjacente",PI
25290,"Parque Estadual do Rio Preto., Caminho para Lapa do Nezinho",PI
25291,"Parque Estadual do Rio Preto., Cerrado entre o alojamento e mirante",PI
25292,"Parque Estadual do Rio Preto., Chapada; mata em vale encaixado, logo abaixo das nascentes do Rio Preto. Mata de galeria",PI
25293,"Parque Estadual do Rio Preto., Corrego do Capao Azul",PI
25294,"Parque Estadual do Rio Preto., da casa de hospedes (18°07'34 S 43°21'24' W) a cascata do Ribeirao das Eguas (18°08'43'' S 43°22'10''W) e entao por fim ao camping (18°06'54'' S 43°20'28'' W)",PI
25295,"Parque Estadual do Rio Preto., Da casa de hospedes (18º07'34''S 43º21'24''W) a cascata do Ribeirao das Eguas (18º08'43''S 43º22'10''W) e entao por fim ao camping (18º06'54''S 43º20'28''W)",PI
25296,"Parque Estadual do Rio Preto., Do alojamento a Cachoeira dos Criolos e de volta ao alojamento, pelo camping",PI
25297,"Parque Estadual do Rio Preto., Do alojamento por trilha ate a cachoeira no corrego das Eguas e depois ate o camping",PI
25298,"Parque Estadual do Rio Preto., Entre a referencia de coordenada e o Riacho das Eguas",PI
25299,"Parque Estadual do Rio Preto., Entre o Riacho das Eguas e a referencia de coordenada",PI
25300,"Parque Estadual do Rio Preto., Junto ao corrego da Lapa",PI
25301,"Parque Estadual do Rio Preto., Junto ao Corrego da Lapa",PI
25302,"Parque Estadual do Rio Preto., Margem esquerda do Rio Preto, proximo a casa de vigilantes",PI
25303,"Parque Estadual do Rio Preto., Proximo a casa de Hospedes",PI
25304,"Parque Estadual do Rio Preto., Proximo a Lapa da Santa",PI
25305,"Parque Estadual do Rio Preto., Proximo a Lapa do Anisio",PI
25306,"Parque Estadual do Rio Preto., Trilha para a cascata do Corrego das Eguas, dai seguindo o curso ate o Rio Preto e o camping",PI
25307,"Parque Estadual do Rio Preto., Trilha para o Poco dos Veados",PI
25308,Parque Estadual do Rio Turvo,PI
25309,"Parque Estadual do Rio Turvo, Rodovia Regis Bittencourt km 535, trilh atras do alojamento do Instituto Florestal, base do Cedro, floresta ombrofila densa",PI
25310,"Parque Estadual do Rio Turvo, Rodovia Regis Bittencourt, Km 535, trilha atras do alojamento do Instituto Florestal, base do Cedro",PI
25311,"Parque Estadual do Rio Turvo, Rodovia Regis Bittencourt, km, 535, trilha atras do alojamento do Instituto Florestal, base do Cedro",PI
25312,Parque Estadual do Rio Vermelho,PI
25313,Parque Estadual do Rio Vermelho-Proximo ao Morro das Aranhas,PI
25314,"Parque Estadual do Rio Vermelho, Restinga pra Mocambique",PI
25315,"Parque Estadual do Rio Vermelho, Trilha do camping",PI
25316,Parque Estadual do Rola-Moca,PI
25317,"Parque Estadual do Rola-Moca, C1",PI
25318,"Parque Estadual do Rola-Moca, C2",PI
25319,"Parque Estadual do Rola-Moca., C 1",PI
25320,"Parque Estadual do Rola-Moca., C1",PI
25321,"Parque Estadual do Rola-Moca., C2",PI
25322,"Parque Estadual do Rola-Moca., QTZ",PI
25323,Parque Estadual do Rola Moca,PI
25324,"Parque Estadual do Rola Moca, PE Rola Moca/C2",PI
25325,Parque Estadual do Serra de Caldas Novas,PI
25326,"Parque Estadual do Sesengano, Sossego, Fazenda da forquilha, prox. ao Rio do Norte",PI
25327,Parque Estadual do Sumidouro. Gruta da Lapinha,PI
25328,Parque Estadual do Tabuleiro,PI
25329,Parque estadual do Tabuleiro-Guarda do Embau,PI
25330,Parque Estadual do Tabuleiro-Guarda do Embau,PI
25331,"Parque Estadual do Tabuleiro-Guarda Embua, Restinga, beira da estrada; Estadio Suces: Avancado de regeneracao",PI
25332,Parque Estadual do Tabuleiro-Morro da Queimada,PI
25333,"Parque Estadual do tabuleiro, Estagio Medio de regeneracao; interior de fragmento",PI
25334,"Parque Estadual do Tabuleiro, Guarda do Embau.",PI
25335,Parque Estadual do Tabuleiro. Parque Estadual do Tabuleiro,PI
25336,Parque Estadual do Tabulheiro-Guarda do Embau,PI
25337,Parque Estadual do Tainha. Rio Tainhas. Passo do S,PI
25338,"Parque Estadual do Tainhas, Estrada para o Passo do S",PI
25339,Parque Estadual do Tocantins,PI
25340,"Parque Estadual do Tres Picos, Republica dos Tres Picos, trilha para o Menor e Medio. 1950m",PI
25341,"Parque estadual do turismo, na sede",PI
25342,Parque estadual do turvo,PI
25343,Parque estadual do Turvo,PI
25344,Parque Estadual do Turvo,PI
25345,PArque Estadual do Turvo,PI
25346,Parque Estadual do Turvo-Caminho para o saltinho ( rio Turvo),PI
25347,"Parque Estadual do Turvo, 5km do Rio Uruguai",PI
25348,"Parque Estadual do Turvo, Acesso 2 , alojamento",PI
25349,"Parque Estadual do Turvo, Alojamento",PI
25350,"Parque estadual do Turvo, antiga sede do parque",PI
25351,"Parque Estadual do Turvo, em regiao proxima ao Rio Uruguai",PI
25352,"Parque Estadual do Turvo, estrada para o Porto Garcia",PI
25353,"Parque Estadual do Turvo, Junto do Salto do Jucuna",PI
25354,"Parque Estadual do Turvo, junto do Salto Yucuna",PI
25355,"Parque Estadual do Turvo, mato do Salto do Yucuma",PI
25356,"Parque Estadual do Turvo, na estrada para o Porto Garcia",PI
25357,"Parque Estadual do Turvo, na estrada para o Salto do Yucuma",PI
25358,"Parque Estadual do Turvo, na estrada para Porto Garcia",PI
25359,"Parque Estadual do Turvo, na regiao das Lagoas",PI
25360,"Parque Estadual do Turvo, na sede do parque",PI
25361,"Parque Estadual do Turvo, No Salto do Yucuma",PI
25362,"Parque Estadual do Turvo, Rio Calixto",PI
25363,"Parque estadual do Turvo, trilha do salto",PI
25364,"Parque Estadual do Turvo, trilha para o Salto do Yucuma",PI
25365,Parque Estadual do Turvo. Acesso 2-Alojamento,PI
25366,Parque Estadual do Turvo. Estrada para o antigo Porto Garcia,PI
25367,Parque Estadual do Utinga,PI
25368,"Parque Estadual do Utinga, Ao longo da estrada principal. Borda de floresta",PI
25369,"Parque Estadual do Utinga, Borda da mata",PI
25370,"Parque Estadual do Utinga, Mata Alagada",PI
25371,"Parque Estadual do Utinga, Projeto Inventario Florestal Complexo Cientifico do Utinga",PI
25372,Parque Estadual do Vacununga,PI
25373,"Parque Estadual do Vacununga. Gleba Pe de Gigante, Rod. Anhanguera, km 255-7",PI
25374,Parque Estadual do Vassununga,PI
25375,Parque Estadual do Verde Grande,PI
25376,"Parque Estadual do Verde Grande, Coletado em area de Mata seca",PI
25377,"Parque Estadual do Xingu, limite nordeste do parque, subindo o Rio Fontourinha",PI
25378,"Parque Estadual do Xingu, limite norte do parque",PI
25379,"Parque Estadual do Xingu, limite norte do parque.",PI
25380,"Parque Estadual do Xingu, limite sul do parque",PI
25381,"Parque Estadual do Xingu, Rio Fontourinha, apos a ponte",PI
25382,"Parque Estadual do Xingu, subindo o rio Fontourinha",PI
25383,"Parque Estadual doIbitipoca, trilha da Mta Grande",PI
25384,Parque Estadual Dois Irmaos,PI
25385,Parque Estadual Dois Irmaos-Mata dos Macacos,PI
25386,"Parque Estadual dos Campos do Jordao, estrada para Sao Jose dos Alpes. Coletada na borda da mata",PI
25387,"Parque Estadual dos Nascentes do Rio Taquari, Trilha dos Canyons. 58 Km da sede",PI
25388,Parque Estadual dos Pireneus,PI
25389,"Parque Estadual dos Pireneus, ca. 2.0 km depois do portal do parque (lado de Pirenopolis), trilha ao lado de uma floresta de galeria fechada, a 1.5 km da estrada principal",PI
25390,"Parque Estadual dos Pireneus, ca. 600m N do Portal do parque (do lado de Pirenopolis)",PI
25391,"Parque Estadual dos Pireneus, Ca. de 2km do portal do parque (lado Pirenolopis), trilha ao lado de um floresta, a 1,5km da estrada principal",PI
25392,"Parque Estadual dos Pireneus, Marco 09",PI
25393,"Parque Estadual dos Pireneus, Marco 9",PI
25394,"Parque Estadual dos Pireneus, Marco 9 do Parque Estadual dos Pireneus",PI
25395,"Parque Estadual dos Pireneus, Margem da estrada do Parque Estadual de Pireneus para Pirenopolis, proximo a entrada da cachoeira do abade, Cerrado tipico",PI
25396,"Parque Estadual dos Pireneus, parcela 24, proximo a base dos 3 picos.",PI
25397,"Parque Estadual dos Pireneus, parcela 27, proximo a base dos 3 picos.",PI
25398,"Parque Estadual dos Pireneus, parcela 37A.",PI
25399,"Parque Estadual dos Pireneus, Serra dos Pireneus",PI
25400,"Parque Estadual dos Pireneus, topo da serra",PI
25401,"Parque Estadual dos Pireneus. Area de cerrado perto do portal da Fazenda CapitA£o do Mato, em direA§A£o do morro",PI
25402,"Parque Estadual dos Pireneus. Area de cerrado perto do portal da Fazenda Capitao do Mato, em direcao do morro.",PI
25403,Parque Estadual dos Pireneus. Base do Morro do Cabeludo,PI
25404,"Parque Estadual dos Pireneus. Ca. 2 km depois do portal do parque (lado de Pirenopolis), trilha ao lado de uma floresta de galeria fechada, a 1,5 km da estrada principal",PI
25405,Parque Estadual dos Pireneus. Estrada de terra com entrada ao lado do Portal do parque (do lado de Pirenopolis),PI
25406,Parque Estadual dos Pireneus. Proximo a estrda do Portal do parque. Base de encosta rochosa. Ao lado de floresta de galeria rala,PI
25407,Parque Estadual dos Pireneus. Serra dos Pireneus,PI
25408,Parque Estadual dos Pireneus. Trilha que segue do Portal da Faz. Capitao do Mato (prop.: Sr Gilberto Morato),PI
25409,"Parque Estadual dos Pireneus. Trilha que seque do portal da Faz. CapitA£o do Mato (prop. Sr. Gilberto Morato), em direA§A£o ao Morro do Cabeludo",PI
25410,"Parque Estadual dos Pireneus.Trilha que segue do portal da Faz.Capitao do mato(prop.Sr.Gilberto Morato),em direcao ao morro do Cabeludo.",PI
25411,Parque Estadual dos Pirineus,PI
25412,Parque Estadual dos Pirineus . Serra dos Pirineus. Area proxima a estrada do portal do parque a direita em direcao a Cocalzinho,PI
25413,"Parque Estadual dos Pirineus, 12 km da base da serra",PI
25414,"Parque Estadual dos Pirineus, Ca. de 2 km depois do portal do Parque (lado de Pirenopolis), trilha ao lado de uma floresta a 1.5 km da estrada principal",PI
25415,"Parque Estadual dos Pirineus, Distrito de Cocalzinho. Levantamento do Santuario do Morro do Cabeludo",PI
25416,"Parque Estadual dos Pirineus, Mirante do Pico dos Pirineus",PI
25417,"Parque Estadual dos Pirineus, Serra dos Pireneus. Area proxima a estrada do portal do parque a direita em direcao a Cocalzinho. Coleta efetuada na margem do corrego. Floresta de galeria rala em solo arenoso e pedregoso, na base de uma encosta rochosa",PI
25418,"Parque Estadual dos Pirineus, Serra dos Pirineus",PI
25419,"Parque Estadual dos Pirineus, Trilha para o Morro do Cabeludo",PI
25420,Parque Estadual dos Pirineus. &nf;Trail to Cachoeira Sonrizal and beyond the small whaterfalls to top of distant ridge,PI
25421,"Parque Estadual dos Pirineus. Ca. 2km depois do portal do parque (lado de Pirenopolis), trilha ao lado de uma floresta de galeria fechada, a 1,5km da estrada principal",PI
25422,Parque Estadual dos Pirineus. Mata ciliar,PI
25423,Parque Estadual dos Sete Saloes,PI
25424,"Parque Estadual dos Sete Saloes, Floresta Estacional Semidecidual",PI
25425,"Parque Estadual dos Sete Saloes, Floresta Estacional Semidecidual; mata ciliar",PI
25426,Parque estadual dos tres Picos,PI
25427,"Parque Estadual dos Tres Picos (Paulo & Rose), na trilha para a Cabeca do Dragao",PI
25428,"Parque Estadual dos Tres Picos (PETP), ao lado do Abrigo Republica Tres Picos.",PI
25429,"Parque Estadual dos Tres Picos (PETP), Cabeca do Dragao. Ecossistema: Floresta Alto Montana. Altitude 1906 m. S 22 19## 20#### W 42 43## 18####",PI
25430,"Parque Estadual dos Tres Picos (PETP), Trilha para a Cabeca do Dragao",PI
