order,locality1,UC
62,"""""""""Parque Nacional Natural Las Orquideas, finca La Guadulala, quebrada Horacio, afluente del rio Venados""""""""",PI
63,"""""""""Parque Nacional Natural Las Orquideas, La Lola, en rio Calles""""""""",PI
64,"""""""""Parque Nacional Natural Las Orquideas, sector Calles""""""""",PI
65,"""""""""Parque Nacional Natural Las Orquideas, sector Calles, margen derecha de la quebrada La Agudelo, parcela permanente""""""""",PI
66,"""""""""Parque Nacional Natural Las Orquideas, vereda Calles""""""""",PI
67,"""""""""Parque Nacional Natural Las Orquideas, vereda Calles, rio Calles""""""""",PI
68,"""""""""Parque Nacional Natural Los Katios, alrededores del campamento El Tilupo""""""""",PI
69,"""""""""Parque Nacional Natural Los Katios, camino a los saltos El Tendal y La Tigra""""""""",PI
70,"""""""""Parque Nacional Natural Los Katios, camino salto La Tigra""""""""",PI
71,"""""""""Parque Nacional Natural Los Katios, cerro La Popa""""""""",PI
72,"""""""""Parque Nacional Natural Los Katios, Sautata""""""""",PI
73,"""""""""Parque Nacional Natural Los Katios, Sautata, El Tendal""""""""",PI
74,"""""""""Parque Nacional Natural Los Katios, Sautata, El Tendal, entre El Tendalito y La Tigra""""""""",PI
75,"""""""""Parque Nacional Natural Los Katios, Sautata, salto el Tilupo""""""""",PI
76,"""""""""Parque Nacional Natural Serrania de Chiribiquete, estacion Puerto Abeja""""""""",PI
77,"""""""""Parque Nacional Natural Sierra de la Macarena, Alto Raudal, rio Guayabero, Ciudad Perdida""""""""",PI
78,"""""""""Parque Nacional Natural Sierra de la Macarena, bosque en el borde de la mesetas del Sur""""""""",PI
79,"""""""""Parque Nacional Natural Sierra de la Macarena, km 13-20 NO en la via a Conejos""""""""",PI
80,"""""""""Parque Nacional Natural Sierra de la Macarena, km 15-20 NO en el alto Los Conejos""""""""",PI
81,"""""""""Parque Nacional Natural Sierra de la Macarena, km 2, O de La Macarena, en la via a Conejos, orillas del cano La Nevera""""""""",PI
82,"""""""""Parque Nacional Natural Sierra de la Macarena, rio Cristales, 2.3 km de camino al S de Cachivera, sobre el rio Guayabero""""""""",PI
83,"""""""""Parque Nacional Natural Sierra de la Macarena, sector a Cano Cristales""""""""",PI
84,"""""""""Parque Nacional Natural Sierra de la Macarena, vereda Cachivera, zona de preservacion del AMEM, por el camino que conduce del rio Guayabero a Cano cristales""""""""",PI
85,"""""""""Parque Natural Municipal do Curio de Paracambi, Trilha dos Bugios. Coordenadas:22°34##41.99""""""""""""""""S43°42##0.54""""""""""""""""O. Floresta Ombrofila Densa Submontana""""""""",PI
86,"""""""""Parque Natural Municipal do Curio de Paracambi, Trilha dos Bugios. Coordenadas:22°35##2.75""""""""""""""""S43°42##7.56""""""""""""""""O. Floresta Ombrofila Densa Submontana""""""""",PI
87,"""""""""Parque Natural Municipal do Curio de Paracambi, Trilha dos Escravos. Coordenadas: 22°35##3.09""""""""""""""""S43°42##0.12""""""""""""""""O. Floresta Ombrofila Densa Submontana""""""""",PI
88,"""""""""Parque Natural Municipal do Curio de Paracambi, Trilha dos Escravos. Coordenadas: 22°35##49.07""""""""""""""""S43°42##19.70""""""""""""""""O. Floresta Ombrofila Densa Submontana""""""""",PI
89,"""""""""Parque Natural Municipal do Curio de Paracambi, Trilha dos Escravos. Coordenadas:22°35##30.93""""""""""""""""S43°42##9.14""""""""""""""""O. Floresta Ombrofila Densa Submontana""""""""",PI
90,"""""""""Perhumid forest on wet plateau above San Marcos de los Coaiqueres, on trail towards Gualpi Bajo.""""""""",US
91,"""""""""Reserva Biologica Cachalu, vereda Rionegro""""""""",PI
92,"""""""""Reserva Biologica de una, Picada do Marimbondo""""""""",PI
93,"""""""""Reserva Biologica do Mico-Leao, IBAMA, Entrada no km 46 da Rod, BA 001 Ilheus-Una""""""""",PI
94,"""""""""Reserva Biologica do Tingua, Estrada do Ouro, linha 6."""""""" Reserva Biologica do Tingua",PI
