"CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceLookup","CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceName","CountryOccurrence.CountryOccurrenceSubfield.formerlyBred","CountryOccurrence.CountryOccurrenceSubfield.origin","CountryOccurrence.CountryOccurrenceSubfield.presence","CountryOccurrence.CountryOccurrenceSubfield.seasonality","internal_taxon_id"
"PY",NA,NA,"Native","Extant","Resident","sp15"
"BZL-RJ",NA,NA,"Native","Extant","Resident","sp15"
"BZE-SE",NA,NA,"Native","Extant","Resident","sp15"
"BZC-GO",NA,NA,"Native","Extant","Resident","sp15"
"BZE-AL",NA,NA,"Native","Extant","Resident","sp15"
"BZE-MA",NA,NA,"Native","Extant","Resident","sp15"
"PY",NA,NA,"Native","Extant","Resident","sp15"
"PY",NA,NA,"Native","Extant","Resident","sp15"
"BO",NA,NA,"Native","Extant","Resident","sp15"
"PY",NA,NA,"Native","Extant","Resident","sp15"
"PY",NA,NA,"Native","Extant","Resident","sp15"
"PE",NA,NA,"Native","Extant","Resident","sp15"
"BO",NA,NA,"Native","Extant","Resident","sp15"
"PE",NA,NA,"Native","Extant","Resident","sp15"
"BO",NA,NA,"Native","Extant","Resident","sp15"
"BZE-PE",NA,NA,"Native","Extant","Resident","sp15"
"BZE-BA",NA,NA,"Native","Extant","Resident","sp15"
"BR",NA,NA,"Native","Extant","Resident","sp15"
"BO",NA,NA,"Native","Extant","Resident","sp15"
"PE",NA,NA,"Native","Extant","Resident","sp15"
"BZE-BA",NA,NA,"Native","Extant","Resident","sp16"
"BZL-MG",NA,NA,"Native","Extant","Resident","sp16"
"BZC-GO",NA,NA,"Native","Extant","Resident","sp16"
"BZS-SC",NA,NA,"Native","Extant","Resident","sp16"
"BZS-PR",NA,NA,"Native","Extant","Resident","sp16"
"BZE-PB",NA,NA,"Native","Extant","Resident","sp16"
"BZL-RJ",NA,NA,"Native","Extant","Resident","sp16"
"AGE-MI",NA,NA,"Native","Extant","Resident","sp16"
"BZE-PE",NA,NA,"Native","Extant","Resident","sp16"
"BZL-SP",NA,NA,"Native","Extant","Resident","sp16"
"BZC-MS",NA,NA,"Native","Extant","Resident","sp16"
"BZC-DF",NA,NA,"Native","Extant","Resident","sp16"
"BZE-MA",NA,NA,"Native","Extant","Resident","sp16"
"BZE-SE",NA,NA,"Native","Extant","Resident","sp16"
"BZL-ES",NA,NA,"Native","Extant","Resident","sp16"
"BZE-CE",NA,NA,"Native","Extant","Resident","sp16"
"BZE-AL",NA,NA,"Native","Extant","Resident","sp16"
"BZS-RS",NA,NA,"Native","Extant","Resident","sp16"
"BZE-RN",NA,NA,"Native","Extant","Resident","sp16"
"BZN-RO",NA,NA,"Native","Extant","Resident","sp16"
"BR",NA,NA,"Native","Extant","Resident","sp16"
"BZN-PA",NA,NA,"Native","Extant","Resident","sp16"
"BZL-MG",NA,NA,"Native","Extant","Resident","sp17"
"BZC-MS",NA,NA,"Native","Extant","Resident","sp17"
"BZS-RS",NA,NA,"Native","Extant","Resident","sp17"
"BZL-RJ",NA,NA,"Native","Extant","Resident","sp17"
"BZS-PR",NA,NA,"Native","Extant","Resident","sp17"
"BZS-SC",NA,NA,"Native","Extant","Resident","sp17"
"BZL-SP",NA,NA,"Native","Extant","Resident","sp17"
"BZL-ES",NA,NA,"Native","Extant","Resident","sp17"
"BO",NA,NA,"Native","Extant","Resident","sp17"
"AGE-CO",NA,NA,"Native","Extant","Resident","sp17"
"AGE-CH",NA,NA,"Native","Extant","Resident","sp17"
"AR",NA,NA,"Native","Extant","Resident","sp17"
"AGE-CN",NA,NA,"Native","Extant","Resident","sp17"
"AGE-ER",NA,NA,"Native","Extant","Resident","sp17"
"AGW-SA",NA,NA,"Native","Extant","Resident","sp17"
"PY",NA,NA,"Native","Extant","Resident","sp17"
"AGE-BA",NA,NA,"Native","Extant","Resident","sp17"
"PY",NA,NA,"Native","Extant","Resident","sp17"
"AGE-MI",NA,NA,"Native","Extant","Resident","sp17"
"AGE-FO",NA,NA,"Native","Extant","Resident","sp17"
"AGW-JU",NA,NA,"Native","Extant","Resident","sp17"
"AR",NA,NA,"Native","Extant","Resident","sp17"
"BZE-MA",NA,NA,"Native","Extant","Resident","sp17"
"PY",NA,NA,"Native","Extant","Resident","sp17"
"PY",NA,NA,"Native","Extant","Resident","sp17"
"BZC-DF",NA,NA,"Native","Extant","Resident","sp17"
"BZC-GO",NA,NA,"Native","Extant","Resident","sp17"
"AGW-SL",NA,NA,"Native","Extant","Resident","sp17"
"BZN-AZ",NA,NA,"Native","Extant","Resident","sp17"
"BZE-PE",NA,NA,"Native","Extant","Resident","sp17"
"BZC-MT",NA,NA,"Native","Extant","Resident","sp17"
"BZN-TO",NA,NA,"Native","Extant","Resident","sp17"
"BZE-BA",NA,NA,"Native","Extant","Resident","sp17"
"BZN-RO",NA,NA,"Native","Extant","Resident","sp17"
"BZE-RN",NA,NA,"Native","Extant","Resident","sp17"
"BZE-PB",NA,NA,"Native","Extant","Resident","sp17"
"BZE-CE",NA,NA,"Native","Extant","Resident","sp17"
"BO",NA,NA,"Native","Extant","Resident","sp17"
"PY",NA,NA,"Native","Extant","Resident","sp17"
"PY",NA,NA,"Native","Extant","Resident","sp17"
"PY",NA,NA,"Native","Extant","Resident","sp17"
"PY",NA,NA,"Native","Extant","Resident","sp17"
"BO",NA,NA,"Native","Extant","Resident","sp17"
"BO",NA,NA,"Native","Extant","Resident","sp17"
"PY",NA,NA,"Native","Extant","Resident","sp17"
"AGW-TU",NA,NA,"Native","Extant","Resident","sp17"
