Binomial	Presence	Origin	Seasonal	Compiler	Year	Citation	Dec_Lat	Dec_Long	SpatialRef	BasisOfRec	Event_Year	Source	Dist_comm	Island	Subspecies	Subpop	Tax_comm	Data_Sens	Sens_Comm	ID_No	collectID	recordNo	recordedBy	day	month	countryCode	locality	minElev	maxElev	verbaElev	verbatLat	verbatLong	verbatCoord	verbatSRS	coordUncert	georefVeri	georefVeri	identCert	typeStatus	subgenus	obsYrQual	obsCompNot	adminError	adminFixed	adminSrcFix	adminChang	id
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-16.113611111111'	'-41.761388888889'	WGS84	PreservedSpecimen	2016	A.C.Sevilha; G.Pereira-Silva, J.B.Pereira e S.E.de Noronha 6189	Minas Gerais Santa Cruz de Salinas Sítio 6. Ponto 6					N	N		RB01385024	6189	A.C.Sevilha; G.Pereira-Silva, J.B.Pereira e S.E.de Noronha	4	12	BRA	Minas Gerais Santa Cruz de Salinas Sítio 6. Ponto 6														1	GC					urn:occurrence:2853915d-39e1-443a-961e-b640ccc84ab7
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-16.86237593'	'-42.49428875'	WGS84	PreservedSpecimen	1991	M. G. Carvalho 840	Minas Gerais Berilo Berilo					N	N		NYBG1030687	840	M. G. Carvalho	30	11	BRA	Minas Gerais Berilo Berilo														1	GC					urn:occurrence:94a5fc17-c99c-450a-8a07-005ca0b14294
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-14.90365375'	'-43.76182456'	WGS84	PreservedSpecimen	2011							N	N		MCMG5716		Rodrigues, R. H. ;			BRA															1	GC					urn:occurrence:b1ed0330-bde7-41bf-94e8-05a8f59ac1d4
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-13.62369990861'	'-40.568199167645'	WGS84	PreservedSpecimen	1912	T.Jehnaker 664	Bahia Maracás Maralos, caldeirões de Mirangda .					N	N		RB00040490	664	T.Jehnaker	17	12	BRA	Bahia Maracás Maralos, caldeirões de Mirangda .														1	GC					urn:occurrence:a45de8be-e138-4a31-9d3f-e8dbb7d7e27b
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-14.121929'	'-42.424609'	WGS84	PreservedSpecimen	1992	A. M. V. de Carvalho 3776	Bahia Caetité Ramal a 29 km na estrada Caetité/Brumado.					N	N		NYBG684644	3776	A. M. V. de Carvalho	10	2	BRA	Bahia Caetité Ramal a 29 km na estrada Caetité/Brumado.														1	GC					urn:occurrence:dca62af3-5465-41f6-88b1-24074d44d8dc
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-13.801666666667'	'-46.538333333333'	WGS84	PreservedSpecimen	2002	Fonseca, ML;Oliveira, FCA,Mendonça, RC,Cardoso, E 2956	Goiás Guarani de Goiás Fazenda Forquilha. Propriedade do Sr. Virgilato Francisco Neto. (Mata 3, Linha 5, parcela 24, árvore 898).					N	N		IBGE00053392	2956	Fonseca, ML;Oliveira, FCA,Mendonça, RC,Cardoso, E	19	10	BRA	Goiás Guarani de Goiás Fazenda Forquilha. Propriedade do Sr. Virgilato Francisco Neto. (Mata 3, Linha 5, parcela 24, árvore 898).														1	GC					urn:occurrence:9e5a3209-89a3-4298-a6e7-f1693674fb3a
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-13.80806'	'-46.53639'	WGS84	PreservedSpecimen	2001	Fonseca, ML;Aparecida da Silva, M,Cardoso, E 2422	Goiás Guarani de Goiás Estrada da fazenda Forquilha para a cidade de Guarani. Solo argiloso, pedregoso. Relevo ondulado.					N	N		IBGE00051213	2422	Fonseca, ML;Aparecida da Silva, M,Cardoso, E	5	3	BRA	Goiás Guarani de Goiás Estrada da fazenda Forquilha para a cidade de Guarani. Solo argiloso, pedregoso. Relevo ondulado.														1	GC					urn:occurrence:fa49b508-8d84-4fb2-a8b5-005110acd83a
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-16.74119'	'-42.574694'	WGS84	PreservedSpecimen	2001	E. T. Neto 3278	Minas Gerais Berilo UHE - Irapé.					N	N		NYBG1030688	3278	E. T. Neto	13	2	BRA	Minas Gerais Berilo UHE - Irapé.														1	GC					urn:occurrence:8164d44a-0a8f-4c6d-83e9-f89e6de6e348
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-14.85021827'	'-43.99120477'	WGS84	PreservedSpecimen	0	Luz, G.R. ; Coutinho, E.S. ; Dantas, I.M. ; Mota, G.S. ; Mota, N.M. ; Oliveira, M.H. ; Rodrigues, P.L. ; Silva, D.L. ; Souza, M.L. ; Souza, S.R. ; Veloso, C.V.R.A. ; 1	Minas Gerais Manga Parque Estadual da Mata Seca					N	N		MCMG494	1	Luz, G.R. ; Coutinho, E.S. ; Dantas, I.M. ; Mota, G.S. ; Mota, N.M. ; Oliveira, M.H. ; Rodrigues, P.L. ; Silva, D.L. ; Souza, M.L. ; Souza, S.R. ; Veloso, C.V.R.A. ;			BRA	Minas Gerais Manga Parque Estadual da Mata Seca														1	GC					urn:occurrence:d4d270e2-120e-4092-9379-9122b154ff72
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-14.85596557'	'-43.80606387'	WGS84	PreservedSpecimen	0	Melo, PHA; Góis, L; Castro, RM; Gato, R 2679	Minas Gerais Matias Cardoso APA Lajedão, comunidade do Lajedão (Horizonte do Gama), proximidades da Gruta do Sr. Vital					N	N		ESAL13769	2679	Melo, PHA; Góis, L; Castro, RM; Gato, R			BRA	Minas Gerais Matias Cardoso APA Lajedão, comunidade do Lajedão (Horizonte do Gama), proximidades da Gruta do Sr. Vital														1	GC					urn:occurrence:a993bb54-9b99-48b5-8b45-fa4422bc216d
